Date	Hour	Stage	
1/1/59	0.0	000.472	
1/1/59	0.5	000.478	
1/1/59	1.0	000.478	
1/1/59	1.5	000.479	
1/1/59	2.0	000.479	
1/1/59	2.5	000.479	
1/1/59	3.0	000.477	
1/1/59	3.5	000.475	
1/1/59	4.0	000.472	
1/1/59	4.5	000.470	
1/1/59	5.0	000.467	
1/1/59	5.5	000.465	
1/1/59	6.0	000.462	
1/1/59	6.5	000.460	
1/1/59	7.0	000.459	
1/1/59	7.5	000.457	
1/1/59	8.0	000.455	
1/1/59	8.5	000.453	
1/1/59	9.0	000.451	
1/1/59	9.5	000.449	
1/1/59	10.0	000.447	
1/1/59	10.5	000.445	
1/1/59	11.0	000.443	
1/1/59	11.5	000.441	
1/1/59	12.0	000.439	
1/1/59	12.5	000.437	
1/1/59	13.0	000.434	
1/1/59	13.5	000.432	
1/1/59	14.0	000.430	
1/1/59	14.5	000.427	
1/1/59	15.0	000.425	
1/1/59	15.5	000.423	
1/1/59	16.0	000.420	
1/1/59	16.5	000.418	
1/1/59	17.0	000.416	
1/1/59	17.5	000.414	
1/1/59	18.0	000.412	
1/1/59	18.5	000.409	
1/1/59	19.0	000.407	
1/1/59	19.5	000.405	
1/1/59	20.0	000.403	
1/1/59	20.5	000.401	
1/1/59	21.0	000.399	
1/1/59	21.5	000.397	
1/1/59	22.0	000.395	
1/1/59	22.5	000.393	
1/1/59	23.0	000.391	
1/1/59	23.5	000.389	
1/2/59	0.0	000.387	
1/2/59	0.5	000.385	
1/2/59	1.0	000.381	
1/2/59	1.5	000.378	
1/2/59	2.0	000.375	
1/2/59	2.5	000.372	
1/2/59	3.0	000.369	
1/2/59	3.5	000.366	
1/2/59	4.0	000.363	
1/2/59	4.5	000.361	
1/2/59	5.0	000.359	
1/2/59	5.5	000.357	
1/2/59	6.0	000.355	
1/2/59	6.5	000.354	
1/2/59	7.0	000.355	
1/2/59	7.5	000.352	
1/2/59	8.0	000.349	
1/2/59	8.5	000.346	
1/2/59	9.0	000.343	
1/2/59	9.5	000.340	
1/2/59	10.0	000.336	
1/2/59	10.5	000.333	
1/2/59	11.0	000.331	
1/2/59	11.5	000.330	
1/2/59	12.0	000.329	
1/2/59	12.5	000.331	
1/2/59	13.0	000.332	
1/2/59	13.5	000.334	
1/2/59	14.0	000.335	
1/2/59	14.5	000.337	
1/2/59	15.0	000.338	
1/2/59	15.5	000.340	
1/2/59	16.0	000.341	
1/2/59	16.5	000.340	
1/2/59	17.0	000.339	
1/2/59	17.5	000.338	
1/2/59	18.0	000.338	
1/2/59	18.5	000.337	
1/2/59	19.0	000.336	
1/2/59	19.5	000.334	
1/2/59	20.0	000.333	
1/2/59	20.5	000.332	
1/2/59	21.0	000.330	
