Date	Hour	Stage	
1/1/63	0.0	-001.000	
1/1/63	0.5	-001.000	
1/1/63	1.0	-001.000	
1/1/63	1.5	-001.000	
1/1/63	2.0	-001.000	
1/1/63	2.5	-001.000	
1/1/63	3.0	-001.000	
1/1/63	3.5	-001.000	
1/1/63	4.0	-001.000	
1/1/63	4.5	-001.000	
1/1/63	5.0	-001.000	
1/1/63	5.5	-001.000	
1/1/63	6.0	-001.000	
1/1/63	6.5	-001.000	
1/1/63	7.0	-001.000	
1/1/63	7.5	-001.000	
1/1/63	8.0	-001.000	
1/1/63	8.5	-001.000	
1/1/63	9.0	-001.000	
1/1/63	9.5	-001.000	
1/1/63	10.0	-001.000	
1/1/63	10.5	-001.000	
1/1/63	11.0	-001.000	
1/1/63	11.5	-001.000	
1/1/63	12.0	-001.000	
1/1/63	12.5	-001.000	
1/1/63	13.0	-001.000	
1/1/63	13.5	-001.000	
1/1/63	14.0	-001.000	
1/1/63	14.5	-001.000	
1/1/63	15.0	-001.000	
1/1/63	15.5	-001.000	
1/1/63	16.0	-001.000	
1/1/63	16.5	-001.000	
1/1/63	17.0	-001.000	
1/1/63	17.5	-001.000	
1/1/63	18.0	-001.000	
1/1/63	18.5	-001.000	
1/1/63	19.0	-001.000	
1/1/63	19.5	-001.000	
1/1/63	20.0	-001.000	
1/1/63	20.5	-001.000	
1/1/63	21.0	-001.000	
1/1/63	21.5	-001.000	
1/1/63	22.0	-001.000	
1/1/63	22.5	-001.000	
1/1/63	23.0	-001.000	
1/1/63	23.5	-001.000	
1/2/63	0.0	-001.000	
1/2/63	0.5	-001.000	
1/2/63	1.0	-001.000	
1/2/63	1.5	-001.000	
1/2/63	2.0	-001.000	
1/2/63	2.5	-001.000	
1/2/63	3.0	-001.000	
1/2/63	3.5	-001.000	
1/2/63	4.0	-001.000	
1/2/63	4.5	-001.000	
1/2/63	5.0	-001.000	
1/2/63	5.5	-001.000	
1/2/63	6.0	-001.000	
1/2/63	6.5	-001.000	
1/2/63	7.0	-001.000	
1/2/63	7.5	-001.000	
1/2/63	8.0	-001.000	
1/2/63	8.5	-001.000	
1/2/63	9.0	-001.000	
1/2/63	9.5	-001.000	
1/2/63	10.0	-001.000	
1/2/63	10.5	-001.000	
1/2/63	11.0	-001.000	
1/2/63	11.5	-001.000	
1/2/63	12.0	-001.000	
1/2/63	12.5	-001.000	
1/2/63	13.0	-001.000	
1/2/63	13.5	-001.000	
1/2/63	14.0	-001.000	
1/2/63	14.5	-001.000	
1/2/63	15.0	-001.000	
1/2/63	15.5	-001.000	
1/2/63	16.0	-001.000	
1/2/63	16.5	-001.000	
1/2/63	17.0	-001.000	
1/2/63	17.5	-001.000	
1/2/63	18.0	-001.000	
1/2/63	18.5	-001.000	
1/2/63	19.0	-001.000	
1/2/63	19.5	-001.000	
1/2/63	20.0	-001.000	
1/2/63	20.5	-001.000	
1/2/63	21.0	-001.000	
1/2/63	21.5	-001.000	
1/2/63	22.0	-001.000	
1/2/63	22.5	-001.000	
1/2/63	23.0	-001.000	
1/2/63	23.5	-001.000	
1/3/63	0.0	-001.000	
1/3/63	0.5	-001.000	
1/3/63	1.0	-001.000	
1/3/63	1.5	-001.000	
1/3/63	2.0	-001.000	
1/3/63	2.5	-001.000	
1/3/63	3.0	-001.000	
1/3/63	3.5	-001.000	
1/3/63	4.0	-001.000	
1/3/63	4.5	-001.000	
1/3/63	5.0	-001.000	
1/3/63	5.5	-001.000	
1/3/63	6.0	-001.000	
1/3/63	6.5	-001.000	
1/3/63	7.0	-001.000	
1/3/63	7.5	-001.000	
1/3/63	8.0	-001.000	
1/3/63	8.5	-001.000	
1/3/63	9.0	-001.000	
1/3/63	9.5	-001.000	
1/3/63	10.0	-001.000	
1/3/63	10.5	-001.000	
1/3/63	11.0	-001.000	
1/3/63	11.5	-001.000	
1/3/63	12.0	-001.000	
1/3/63	12.5	-001.000	
1/3/63	13.0	-001.000	
1/3/63	13.5	-001.000	
1/3/63	14.0	-001.000	
1/3/63	14.5	-001.000	
1/3/63	15.0	-001.000	
1/3/63	15.5	-001.000	
1/3/63	16.0	-001.000	
1/3/63	16.5	-001.000	
1/3/63	17.0	-001.000	
1/3/63	17.5	-001.000	
1/3/63	18.0	-001.000	
1/3/63	18.5	-001.000	
1/3/63	19.0	-001.000	
1/3/63	19.5	-001.000	
1/3/63	20.0	-001.000	
1/3/63	20.5	-001.000	
1/3/63	21.0	-001.000	
1/3/63	21.5	-001.000	
1/3/63	22.0	-001.000	
1/3/63	22.5	-001.000	
1/3/63	23.0	-001.000	
1/3/63	23.5	-001.000	
1/4/63	0.0	-001.000	
1/4/63	0.5	-001.000	
1/4/63	1.0	-001.000	
1/4/63	1.5	-001.000	
1/4/63	2.0	-001.000	
1/4/63	2.5	-001.000	
1/4/63	3.0	-001.000	
1/4/63	3.5	-001.000	
1/4/63	4.0	-001.000	
1/4/63	4.5	-001.000	
1/4/63	5.0	-001.000	
1/4/63	5.5	-001.000	
1/4/63	6.0	-001.000	
1/4/63	6.5	-001.000	
1/4/63	7.0	-001.000	
1/4/63	7.5	-001.000	
1/4/63	8.0	-001.000	
1/4/63	8.5	-001.000	
1/4/63	9.0	-001.000	
1/4/63	9.5	-001.000	
1/4/63	10.0	-001.000	
1/4/63	10.5	-001.000	
1/4/63	11.0	-001.000	
1/4/63	11.5	-001.000	
1/4/63	12.0	-001.000	
1/4/63	12.5	-001.000	
1/4/63	13.0	-001.000	
1/4/63	13.5	-001.000	
1/4/63	14.0	-001.000	
1/4/63	14.5	-001.000	
1/4/63	15.0	-001.000	
1/4/63	15.5	-001.000	
1/4/63	16.0	-001.000	
1/4/63	16.5	-001.000	
1/4/63	17.0	-001.000	
1/4/63	17.5	-001.000	
1/4/63	18.0	-001.000	
1/4/63	18.5	-001.000	
1/4/63	19.0	-001.000	
1/4/63	19.5	-001.000	
1/4/63	20.0	-001.000	
1/4/63	20.5	-001.000	
1/4/63	21.0	-001.000	
1/4/63	21.5	-001.000	
1/4/63	22.0	-001.000	
1/4/63	22.5	-001.000	
1/4/63	23.0	-001.000	
1/4/63	23.5	-001.000	
1/5/63	0.0	-001.000	
1/5/63	0.5	-001.000	
1/5/63	1.0	-001.000	
1/5/63	1.5	-001.000	
1/5/63	2.0	-001.000	
1/5/63	2.5	-001.000	
1/5/63	3.0	-001.000	
1/5/63	3.5	-001.000	
