
170.144.103.144	"10:48 am  Friday February 11, 2011"	"DENVER WB AP CO"	  39.77	-104.88
170.144.103.144	"10:49 am  Friday February 11, 2011"	"DENVER WB AP CO"	  39.77	-104.88
170.144.103.144	"10:54 am  Friday February 11, 2011"	"DENVER WB AP CO"	  39.77	-104.88
170.144.103.144	"11:13 am  Friday February 11, 2011"	"DENVER WB AP CO"	  39.77	-104.88
170.144.119.51	"09:06 am  Tuesday February 15, 2011"	"DENVER WB AP CO"	  39.77	-104.88
170.144.77.54	"09:38 am  Tuesday February 15, 2011"	"DENVER WB AP CO"	  39.77	-104.88
76.4.254.86	"12:17 pm  Tuesday February 15, 2011"	"MOSCOW U OF I ID"	  46.73	-117.00
170.144.78.30	"04:49 pm  Tuesday February 15, 2011"	"DENVER WB AP CO"	  39.77	-104.88
170.144.78.30	"04:50 pm  Tuesday February 15, 2011"	"DENVER WB AP CO"	  39.77	-104.88
170.144.77.150	"10:46 am  Wednesday February 16, 2011"	"LAKEPORT CA+ +"	  39.12	 122.78
170.144.71.211	"10:54 am  Wednesday February 16, 2011"	"MEADOW CREEK +"	  45.48	-111.63
170.144.71.211	"01:39 pm  Wednesday February 16, 2011"	"MEADOW CREEK +"	  45.48	-111.63
166.3.65.124	"03:18 pm  Wednesday February 16, 2011"	"JEMEZ SPRINGS NM"	  35.78	-106.68
166.3.65.124	"08:14 am  Thursday February 17, 2011"	"JEMEZ SPRINGS NM"	  35.78	-106.68
166.3.65.124	"08:41 am  Thursday February 17, 2011"	"JEMEZ SPRINGS NM"	  35.78	-106.68
166.3.65.124	"08:43 am  Thursday February 17, 2011"	"JEMEZ SPRINGS NM"	  35.78	-106.68
166.3.65.124	"12:00 pm  Thursday February 17, 2011"	"JEMEZ SPRINGS NM"	  35.78	-106.68
170.144.87.221	"12:22 pm  Thursday February 17, 2011"	"VC03 +"	  45.18	-113.90
166.3.65.124	"12:28 pm  Thursday February 17, 2011"	"JEMEZ SPRINGS NM"	  35.78	-106.68
170.144.87.221	"12:30 pm  Thursday February 17, 2011"	"VC03 +"	  45.18	-113.90
170.144.87.221	"12:35 pm  Thursday February 17, 2011"	"VC03 +"	  45.18	-113.90
170.144.87.221	"12:44 pm  Thursday February 17, 2011"	"VC03 +"	  45.18	-113.90
166.3.38.36	"01:25 pm  Thursday February 17, 2011"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.38.36	"01:31 pm  Thursday February 17, 2011"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
131.94.113.67	"04:27 pm  Thursday February 17, 2011"	"MK East +"	  46.64	 114.88
131.94.113.67	"09:27 am  Friday February 18, 2011"	"MK East +"	  46.64	 114.88
170.144.77.50	"03:57 pm  Friday February 18, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"04:00 pm  Friday February 18, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"04:36 pm  Friday February 18, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"05:08 pm  Friday February 18, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"05:09 pm  Friday February 18, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"05:10 pm  Friday February 18, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"05:11 pm  Friday February 18, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"05:11 pm  Friday February 18, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"05:12 pm  Friday February 18, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"05:13 pm  Friday February 18, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"01:00 pm  Monday February 21, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"11:48 am  Tuesday February 22, 2011"	"Sheep +"	  39.60	 122.78
170.144.120.114	"02:06 pm  Tuesday February 22, 2011"	"LAKEPORT CA +"	  39.16	 122.82
131.94.113.67	"02:40 pm  Tuesday February 22, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"02:47 pm  Tuesday February 22, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"02:54 pm  Tuesday February 22, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"02:56 pm  Tuesday February 22, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"03:47 pm  Tuesday February 22, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"04:07 pm  Tuesday February 22, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"04:10 pm  Tuesday February 22, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"04:11 pm  Tuesday February 22, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"04:13 pm  Tuesday February 22, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"04:15 pm  Tuesday February 22, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"04:16 pm  Tuesday February 22, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"04:19 pm  Tuesday February 22, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"05:33 pm  Tuesday February 22, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"05:34 pm  Tuesday February 22, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"05:37 pm  Tuesday February 22, 2011"	"Sheep +"	  39.60	 122.78
