
166.3.6.41	"09:17 am  Friday January 15, 2016"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.41	"09:17 am  Friday January 15, 2016"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.41	"09:18 am  Friday January 15, 2016"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.41	"09:42 am  Friday January 15, 2016"	"HEBER AZ +"	  34.38	-110.58
166.3.6.41	"09:46 am  Friday January 15, 2016"	"HEBER AZ +"	  34.38	-110.58
166.3.6.41	"09:47 am  Friday January 15, 2016"	"HEBER AZ"	  34.38	-110.58
166.3.6.41	"09:49 am  Friday January 15, 2016"	"PAYSON WB CITY AZ"	  34.23	-111.33
166.3.6.41	"10:06 am  Friday January 15, 2016"	"PAYSON WB CITY AZ +"	  34.43	 110.85
166.3.6.41	"11:12 am  Friday January 15, 2016"	"PAYSON WB CITY AZ +"	  34.43	 110.85
166.3.6.41	"11:16 am  Friday January 15, 2016"	"PAYSON WB CITY AZ +"	  34.43	 110.85
166.3.6.41	"11:19 am  Friday January 15, 2016"	"PAYSON WB CITY AZ +"	  34.43	 110.85
166.3.6.41	"11:22 am  Friday January 15, 2016"	"PAYSON WB CITY AZ +"	  34.43	 110.85
166.3.6.41	"11:23 am  Friday January 15, 2016"	"PAYSON WB CITY AZ +"	  34.43	 110.85
50.139.63.252	"07:06 pm  Friday January 15, 2016"	"TlineTest +"	  45.34	 121.78
98.145.155.198	"09:31 am  Tuesday January 19, 2016"	"MOSCOW U OF I ID"	  46.73	-117.00
166.2.22.201	"10:16 am  Tuesday January 19, 2016"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
137.190.76.73	"01:50 pm  Tuesday January 19, 2016"	"CEDAR CITY AP UT"	  37.70	-113.10
137.190.76.73	"01:50 pm  Tuesday January 19, 2016"	"CEDAR CITY AP UT"	  37.70	-113.10
172.17.6.6	"08:45 am  Thursday January 21, 2016"	"MOSCOW U OF I ID"	  46.73	-117.00
166.3.6.41	"12:08 pm  Thursday January 21, 2016"	"PAYSON WB CITY AZ +"	  34.43	 110.85
166.3.6.41	"12:37 pm  Thursday January 21, 2016"	"PAYSON WB CITY AZ +"	  34.43	 110.85
166.3.6.41	"12:38 pm  Thursday January 21, 2016"	"PAYSON WB CITY AZ +"	  34.43	 110.85
166.3.6.41	"12:40 pm  Thursday January 21, 2016"	"PAYSON WB CITY AZ +"	  34.43	 110.85
166.5.38.108	"02:18 pm  Thursday January 21, 2016"	"MOUNT SHASTA CA"	  41.32	-122.32
166.2.22.231	"11:31 am  Friday January 22, 2016"	"MOSCOW U OF I ID"	  46.73	-117.00
166.6.212.203	"01:26 pm  Friday January 22, 2016"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
165.83.47.253	"01:44 pm  Friday January 22, 2016"	"JODA +"	  44.36	 119.38
165.83.47.253	"01:46 pm  Friday January 22, 2016"	"JODA +"	  44.36	 119.38
165.83.47.253	"01:47 pm  Friday January 22, 2016"	"JODA +"	  44.36	 119.38
76.114.18.59	"04:25 pm  Friday January 22, 2016"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
76.114.18.59	"04:59 pm  Friday January 22, 2016"	"WINTERS CA"	  38.52	-121.97
90.163.75.178	"07:42 am  Saturday January 23, 2016"	"Orense, Spain + +"	  42.40	  -7.86
90.163.75.178	"07:48 am  Saturday January 23, 2016"	"Orense, Spain + +"	  42.40	  -7.86
90.163.75.178	"07:50 am  Saturday January 23, 2016"	"MOSCOW U OF I ID"	  46.73	-117.00
90.163.75.178	"08:43 am  Saturday January 23, 2016"	"Orense, Spain + +"	  42.40	  -7.86
