166.2.47.206	"02:15 pm  Monday February 1, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"02:19 pm  Monday February 1, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"03:12 pm  Monday February 1, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"03:15 pm  Monday February 1, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"03:29 pm  Monday February 1, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"03:51 pm  Monday February 1, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"03:55 pm  Monday February 1, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"03:58 pm  Monday February 1, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"04:02 pm  Monday February 1, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"04:16 pm  Monday February 1, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"04:19 pm  Monday February 1, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"04:53 pm  Monday February 1, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"05:19 pm  Monday February 1, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"09:42 am  Tuesday February 2, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"09:59 am  Tuesday February 2, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"10:08 am  Tuesday February 2, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"10:54 am  Tuesday February 2, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"11:24 am  Tuesday February 2, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"11:35 am  Tuesday February 2, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"11:47 am  Tuesday February 2, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"12:01 pm  Tuesday February 2, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"12:17 pm  Tuesday February 2, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"12:25 pm  Tuesday February 2, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.137.126.61	"12:30 pm  Tuesday February 2, 2016"	"OZONA TX"	  30.52	-101.17
166.2.47.206	"12:33 pm  Tuesday February 2, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"12:42 pm  Tuesday February 2, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"12:55 pm  Tuesday February 2, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"01:02 pm  Tuesday February 2, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"01:15 pm  Tuesday February 2, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"01:24 pm  Tuesday February 2, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
