
166.6.147.157	"06:34 pm  Tuesday January 12, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"06:37 pm  Tuesday January 12, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"06:43 pm  Tuesday January 12, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
207.46.13.130	"01:55 am  Wednesday January 13, 2016"		""		
166.7.163.89	"09:44 am  Wednesday January 13, 2016"	10	"SYLVAN CREEK ID +"	  46.52	 115.73
166.7.163.89	"09:44 am  Wednesday January 13, 2016"	1	"SYLVAN CREEK ID +"	  46.52	 115.73
166.7.163.89	"09:49 am  Wednesday January 13, 2016"	1	"SYLVAN CREEK ID +"	  46.52	 115.73
166.7.163.89	"09:49 am  Wednesday January 13, 2016"	10	"SYLVAN CREEK ID +"	  46.52	 115.73
166.7.163.89	"09:50 am  Wednesday January 13, 2016"	50	"SYLVAN CREEK ID +"	  46.52	 115.73
166.7.163.89	"09:51 am  Wednesday January 13, 2016"	50	"SYLVAN CREEK ID +"	  46.52	 115.73
166.6.147.157	"11:24 am  Wednesday January 13, 2016"	10	"ELKTON 2 W OR"	  43.65	-123.60
166.7.163.89	"11:25 am  Wednesday January 13, 2016"	1	"SYLVAN CREEK ID +"	  46.52	 115.73
166.6.147.157	"11:25 am  Wednesday January 13, 2016"	10	"ELKTON 2 W OR"	  43.65	-123.60
166.7.163.89	"11:26 am  Wednesday January 13, 2016"	1	"SYLVAN CREEK ID +"	  46.52	 115.73
166.6.147.157	"11:27 am  Wednesday January 13, 2016"	10	"ELKTON 2 W OR"	  43.65	-123.60
166.7.163.89	"11:27 am  Wednesday January 13, 2016"	1	"SYLVAN CREEK ID +"	  46.52	 115.73
166.7.163.89	"11:27 am  Wednesday January 13, 2016"	50	"SYLVAN CREEK ID +"	  46.52	 115.73
166.7.163.89	"11:28 am  Wednesday January 13, 2016"	50	"SYLVAN CREEK ID +"	  46.52	 115.73
166.7.163.89	"11:28 am  Wednesday January 13, 2016"	1	"SYLVAN CREEK ID +"	  46.52	 115.73
166.7.163.89	"11:29 am  Wednesday January 13, 2016"	50	"SYLVAN CREEK ID +"	  46.52	 115.73
166.6.147.157	"11:30 am  Wednesday January 13, 2016"	10	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"11:55 am  Wednesday January 13, 2016"	10	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"11:57 am  Wednesday January 13, 2016"	10	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"12:00 pm  Wednesday January 13, 2016"	10	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"12:01 pm  Wednesday January 13, 2016"	10	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"12:04 pm  Wednesday January 13, 2016"	10	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"12:06 pm  Wednesday January 13, 2016"	10	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"12:08 pm  Wednesday January 13, 2016"	10	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"12:11 pm  Wednesday January 13, 2016"	10	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"12:11 pm  Wednesday January 13, 2016"	10	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"12:13 pm  Wednesday January 13, 2016"	10	"ELKTON 2 W OR"	  43.65	-123.60
166.7.163.89	"12:15 pm  Wednesday January 13, 2016"	50	"SYLVAN CREEK ID +"	  46.52	 115.73
166.7.163.89	"12:16 pm  Wednesday January 13, 2016"	50	"SYLVAN CREEK ID +"	  46.52	 115.73
166.7.163.89	"12:18 pm  Wednesday January 13, 2016"	1	"SYLVAN CREEK ID +"	  46.52	 115.73
166.6.147.157	"12:18 pm  Wednesday January 13, 2016"	10	"ELKTON 2 W OR"	  43.65	-123.60
166.7.163.89	"12:18 pm  Wednesday January 13, 2016"	1	"SYLVAN CREEK ID +"	  46.52	 115.73
166.7.163.89	"12:20 pm  Wednesday January 13, 2016"	1	"SYLVAN CREEK ID +"	  46.52	 115.73
166.7.163.89	"12:20 pm  Wednesday January 13, 2016"	50	"SYLVAN CREEK ID +"	  46.52	 115.73
166.6.147.157	"12:20 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"12:22 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"12:23 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"12:25 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"12:26 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"12:27 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"12:28 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"12:29 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"12:31 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"12:32 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.7.163.89	"12:32 pm  Wednesday January 13, 2016"	1	"SYLVAN CREEK ID +"	  46.52	 115.73
166.6.147.157	"02:40 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"02:42 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"02:44 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.3.47.66	"02:59 pm  Wednesday January 13, 2016"	10	"FORT BAYARD NM"	  32.80	-108.15
166.6.147.157	"03:29 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"03:31 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"03:33 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"03:36 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"03:38 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"03:39 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
158.68.66.254	"03:41 pm  Wednesday January 13, 2016"	10	"NESTUCCA R OR +"	  45.32	 123.46
166.6.147.157	"03:41 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"03:43 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"03:45 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"03:46 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"03:47 pm  Wednesday January 13, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
172.17.6.168	"01:32 am  Thursday January 14, 2016"	10	"Gerona Sierra, Spain +"	  41.97	  2.833
61.135.189.97	"02:40 am  Thursday January 14, 2016"		""		
166.6.147.157	"08:33 am  Thursday January 14, 2016"	10	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"08:33 am  Thursday January 14, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"08:36 am  Thursday January 14, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"08:37 am  Thursday January 14, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"08:39 am  Thursday January 14, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"08:40 am  Thursday January 14, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.157	"08:42 am  Thursday January 14, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
129.82.105.61	"11:03 am  Thursday January 14, 2016"	30	"Old Flower Rd +"	  40.64	 105.44
129.82.105.61	"11:17 am  Thursday January 14, 2016"	30	"Old Flower Rd +"	  40.64	 105.44
