Habitat Type,Tree Species,Plant Species,Vegetation Subseries,Habitat Type Manual,State
PSME/OSCH,DF,DS,DF/DS,NORTH UT,UT
PIFL/BERE,DF,DS,DF/DS,NORTH UT,UT
PIFL/CELE,DF,DS,DF/DS,NORTH UT,UT
PIPU/AGSP,DF,DS,DF/DS,NORTH UT,UT
PIPU/BERE,DF,DS,DF/DS,NORTH UT,UT
PSME/ACGL,DF,DS,DF/DS,NORTH UT,UT
PSME/BERE/BE,DF,DS,DF/DS,NORTH UT,UT
PSME/BERE/CA,DF,DS,DF/DS,NORTH UT,UT
PSME/BERE/JU,DF,DS,DF/DS,NORTH UT,UT
PSME/BERE/SY,DF,DS,DF/DS,NORTH UT,UT
PSME/CELE,DF,DS,DF/DS,NORTH UT,UT
PIPO/FEID/FE,PP,DG,PP/DG,NORTH UT,UT
PIPO/FEID/AR,PP,DS,PP/DS,NORTH UT,UT
PIPO/FEID/AR,PP,DS,PP/DS,NORTH UT,UT
PIPO/CAGE,PP,DS,PP/DS,NORTH UT,UT
SF/RHAL,COLDF,DH,COLDF/DH,OKANOGAN,WA
SF/LIBOL,COLDF,DH,COLDF/DH,OKANOGAN,WA
SF/PAMY,COLDF,DH,COLDF/DH,OKANOGAN,WA
SF/VASC/CARU,COLDF,DH,COLDF/DH,OKANOGAN,WA
SF/VACCI,COLDF,DH,COLDF/DH,OKANOGAN,WA
SF/CARU,COLDF,DS,COLDF/DS,OKANOGAN,WA
SF/PHEM,COLDF,DS,COLDF/DS,OKANOGAN,WA
SF/VASC,COLDF,DS,COLDF/DS,OKANOGAN,WA
ES/EQUIS,COLDF,WH,COLDF/WH,OKANOGAN,WA
TA/SYAL,COOLP,DH,COOLP/DH,OKANOGAN,WA
TA/CARU,COOLP,DS,COOLP/DS,OKANOGAN,WA
DF/VACCI,DF,DH,DF/DH,OKANOGAN,WA
DF/PHMA,DF,DS,DF/DS,OKANOGAN,WA
DF/PAMY,DF,DS,DF/DS,OKANOGAN,WA
DF/CARU,DF,DS,DF/DS,OKANOGAN,WA
DF/ARUV-PUTR,DF,DS,DF/DS,OKANOGAN,WA
DF/ARUV,DF,DS,DF/DS,OKANOGAN,WA
DF/SYOR,DF,DS,DF/DS,OKANOGAN,WA
DF/SYAL,DF,DS,DF/DS,OKANOGAN,WA
PP-DF/AGIN,DF,DS,DF/DS,OKANOGAN,WA
WBP/CARU,DF,DS,DF/DS,OKANOGAN,WA
SF/LIBO,COLDF,DH,COLDF/DH,WALLOWA,OR
MH/VAME,COLDF,DH,COLDF/DH,WALLOWA,OR
SF/MEFE,COLDF,DH,COLDF/DH,WALLOWA,OR
SF/VAME,COLDF,DH,COLDF/DH,WALLOWA,OR
SF/VASC/POPU,COLDF,DS,COLDF/DS,WALLOWA,WA
MH/VASC,COLDF,DS,COLDF/DS,WALLOWA,WA
SF/CLUN,COLDF,MH,COLDF/MH,WALLOWA,OR
GF/ACGL,COOLF,DH,COOLF/DH,WALLOWA,OR
GF/CARU,COOLF,DH,COOLF/DH,WALLOWA,OR
GF/LIBO,COOLF,DH,COOLF/DH,WALLOWA,OR
GF/VAME,COOLF,DH,COOLF/DH,WALLOWA,OR
GF/SPBE,COOLF,DS,COOLF/DS,WALLOWA,WA
GF/TABR/CLUN,COOLF,MH,COOLF/MH,WALLOWA,WA
GF/CLUN,COOLF,MH,COOLF/MH,WALLOWA,WA
LP/VASC(SF,COOLP,DH,COOLP/DH,WALLOWA,OR
LP/VAME(SF,COOLP,DH,COOLP/DH,WALLOWA,OR
LP/LIBO(GF,COOLP,DH,COOLP/DH,WALLOWA,OR
DF/PHMA,DF,DH,DF/DH,WALLOWA,OR
DF/ACGL/PHMA,DF,DH,DF/DH,WALLOWA,OR
DF/SYOR,DF,DS,DF/DS,WALLOWA,OR
DF/SYAL,DF,DS,DF/DS,WALLOWA,OR
DF/SPBE,DF,DS,DF/DS,WALLOWA,OR
DF/CARU,DF,DS,DF/DS,WALLOWA,OR
PP/AGSP,PP,DG,PP/DG,WALLOWA,OR
PP/FEID,PP,DG,PP/DG,WALLOWA,OR
PP/SYAL,PP,DS,PP/DS,WALLOWA,OR
TSHE/BENE,CH,DH,CH/DH,WENATCHEE,WA
TSHE/PAMY-CLUN,CH,DH,CH/DH,WENATCHEE,WA
TSME/VAAL,CH,DH,CH/DH,WENATCHEE,WA
TSME/VAME,CH,DH,CH/DH,WENATCHEE,WA
ABAM/VAME-CLUN,CH,MH,CH/MH,WENATCHEE,WA
TSHE/ACCI-ACTR,CH,MH,CH/MH,WENATCHEE,WA
TSHE/ACCI-ASCA,CH,MH,CH/MH,WENATCHEE,WA
TSHE/ACCI-CLUN,CH,MH,CH/MH,WENATCHEE,WA
TSHE/ACTR,CH,MH,CH/MH,WENATCHEE,WA
ABAM/ACCI,CH,MH,CH/MH,WENATCHEE,WA
ABAM/ACTR,CH,MH,CH/MH,WENATCHEE,WA
ABAM/MEFE,CH,MH,CH/MH,WENATCHEE,WA
ABAM/RHAL-VAME,CH,MH,CH/MH,WENATCHEE,WA
ABAM/VAAL,CH,MH,CH/MH,WENATCHEE,WA
ABAM/VAME-PYSE,CH,MH,CH/MH,WENATCHEE,WA
TSME/MEFE-VAAL,CH,MH,CH/MH,WENATCHEE,WA
ABAM/TITR,CH,WF,CH/WF,WENATCHEE,WA
TSHE/ASCA,CH,WH,CH/WH,WENATCHEE,WA
THPL/OPHO,CH,WS,CH/WS,WENATCHEE,WA
ABAM/OPHO,CH,WS,CH/WS,WENATCHEE,WA
ABLA/ARLA-POPU,COLDF,DG,COLDF/DG,WENATCHEE,WA
ABLA/LIBO,COLDF,DG,COLDF/DG,WENATCHEE,WA
TSME/PHEM-VADE,COLDF,DH,COLDF/DH,WENATCHEE,WA
ABLA/LUHI,COLDF,DH,COLDF/DH,WENATCHEE,WA
ABLA/RHAL,COLDF,DH,COLDF/DH,WENATCHEE,WA
ABLA/RHAL-LUHI,COLDF,DH,COLDF/DH,WENATCHEE,WA
ABLA/VACA,COLDF,DH,COLDF/DH,WENATCHEE,WA
ABLA/VADE,COLDF,DH,COLDF/DH,WENATCHEE,WA
ABLA/VAME,COLDF,DH,COLDF/DH,WENATCHEE,WA
ABLA/PAMY,COLDF,DS,COLDF/DS,WENATCHEE,WA
ABLA/RULA,COLDF,DS,COLDF/DS,WENATCHEE,WA
ABLA/VASC,COLDF,DS,COLDF/DS,WENATCHEE,WA
ABLA/VASC-ARLA,COLDF,DS,COLDF/DS,WENATCHEE,WA
ABLA/VASC-LUHI,COLDF,DS,COLDF/DS,WENATCHEE,WA
LALY/VASC-LUHI,COLDF,DS,COLDF/DS,WENATCHEE,WA
PIEN/EQUIS,COLDF,WF,COLDF/WF,WENATCHEE,WA
ABGR/ARCO,COOLF,DG,COOLF/DG,WENATCHEE,WA
TSME/RULA,COOLF,DG,COOLF/DG,WENATCHEE,WA
TSME/XETE-VAMY,COOLF,DG,COOLF/DG,WENATCHEE,WA
ABGR/ACCI-CHUM,COOLF,DH,COOLF/DH,WENATCHEE,WA
ABAM/RULA,COOLF,DH,COOLF/DH,WENATCHEE,WA
TSME/LUHI,COOLF,DH,COOLF/DH,WENATCHEE,WA
TSME/MEFE-VAME,COOLF,DH,COOLF/DH,WENATCHEE,WA
TSME/RHAL-VAME,COOLF,DH,COOLF/DH,WENATCHEE,WA
TSME/RHAL-VAAL,COOLF,DH,COOLF/DH,WENATCHEE,WA
ABGR/ACCI,COOLF,DS,COOLF/DS,WENATCHEE,WA
ABGR/BENE,COOLF,DS,COOLF/DS,WENATCHEE,WA
ABGR/BENE-CARU,COOLF,DS,COOLF/DS,WENATCHEE,WA
ABGR/CARU,COOLF,DS,COOLF/DS,WENATCHEE,WA
ABGR/CARU-LUPIN,COOLF,DS,COOLF/DS,WENATCHEE,WA
ABGR/HODI-CARU,COOLF,DS,COOLF/DS,WENATCHEE,WA
ABGR/SPBE-PTAQ,COOLF,DS,COOLF/DS,WENATCHEE,WA
ABGR/SYAL-CARU,COOLF,DS,COOLF/DS,WENATCHEE,WA
TSME/VASC-LUHI,COOLF,DS,COOLF/DS,WENATCHEE,WA
ABGR/ACCI-CLUN,COOLF,MH,COOLF/MH,WENATCHEE,WA
ABGR/ACTR,COOLF,MH,COOLF/MH,WENATCHEE,WA
PIAL/FEVI,COOLP,DG,COOLP/DG,WENATCHEE,WA
PIAL/JUCO,COOLP,DG,COOLP/DG,WENATCHEE,WA
LALY/CAME-LUPE,COOLP,DG,COOLP/DG,WENATCHEE,WA
LALY/DROC,COOLP,DG,COOLP/DG,WENATCHEE,WA
LALY/JUCO,COOLP,DG,COOLP/DG,WENATCHEE,WA
LALY/VADE-CAME,COOLP,DG,COOLP/DG,WENATCHEE,WA
PIAL/CARU,COOLP,DS,COOLP/DS,WENATCHEE,WA
PIAL/VASC-LUHI,COOLP,DS,COOLP/DS,WENATCHEE,WA
PSME/AGSP,DF,DG,DF/DG,WENATCHEE,WA
PSME/AGSP-ASDE,DF,DG,DF/DG,WENATCHEE,WA
PSME/CAGE,DF,DG,DF/DG,WENATCHEE,WA
PSME/PEFR,DF,DG,DF/DG,WENATCHEE,WA
PSME/PUTR,DF,DG,DF/DG,WENATCHEE,WA
PSME/PUTR-AGSP,DF,DG,DF/DG,WENATCHEE,WA
PSME/SYOR,DF,DG,DF/DG,WENATCHEE,WA
PSME/ARUV,DF,DH,DF/DH,WENATCHEE,WA
PSME/ARUV-PUTR,DF,DH,DF/DH,WENATCHEE,WA
PSME/ARUV-CARU,DF,DH,DF/DH,WENATCHEE,WA
PSME/VACA,DF,DH,DF/DH,WENATCHEE,WA
TSHE/ARNE,DF,DH,DF/DH,WENATCHEE,WA
QUGA/CARU-CAGE,DF,DS,DF/DS,WENATCHEE,WA
QUGA/COCO-SYAL,DF,DS,DF/DS,WENATCHEE,WA
PSME/CARU,DF,DS,DF/DS,WENATCHEE,WA
PSME/CARU-AGSP,DF,DS,DF/DS,WENATCHEE,WA
PSME/PAMY,DF,DS,DF/DS,WENATCHEE,WA
PSME/PAMY-CARU,DF,DS,DF/DS,WENATCHEE,WA
PSME/PUTR-CARU,DF,DS,DF/DS,WENATCHEE,WA
PSME/SPBE,DF,DS,DF/DS,WENATCHEE,WA
PSME/SPBE-CARU,DF,DS,DF/DS,WENATCHEE,WA
PSME/SYAL,DF,DS,DF/DS,WENATCHEE,WA
PSME/SYAL-AGSP,DF,DS,DF/DS,WENATCHEE,WA
PSME/SYAL-CARU,DF,DS,DF/DS,WENATCHEE,WA
PSME/VAMY,DF,DS,DF/DS,WENATCHEE,WA
PSME/VAMY-CARU,DF,DS,DF/DS,WENATCHEE,WA
ABGR/ARNE,DF,DS,DF/DS,WENATCHEE,WA
ABGR/SYOR,DF,DS,DF/DS,WENATCHEE,WA
ABLA/CARU,DF,DS,DF/DS,WENATCHEE,WA
ABLA/PAMY-CARU,DF,DS,DF/DS,WENATCHEE,WA
ABLA/VASC-CARU,DF,DS,DF/DS,WENATCHEE,WA
QUGA/AGSP,PP,DG,PP/DG,WENATCHEE,WA
PIPO/AGSP,PP,DG,PP/DG,WENATCHEE,WA
PIPO/PUTR-AGSP,PP,DG,PP/DG,WENATCHEE,WA
PIPO/CARU-AGSP,PP,DS,PP/DS,WENATCHEE,WA
