166.7.133.89	11:41 am  Monday June 21, 2010	30	1	  SEELEY LAKE RS MT 22.55 +             
166.7.133.89	11:42 am  Monday June 21, 2010	30	1	  SEELEY LAKE RS MT 22.55 +             
166.7.133.89	11:42 am  Monday June 21, 2010		6	 SEELEY LAKE RS MT 22.55 +              
166.7.133.89	11:43 am  Monday June 21, 2010	30	6	  SEELEY LAKE RS MT 22.55 +             
166.7.133.89	11:55 am  Monday June 21, 2010	30	3	  SEELEY LAKE RS MT 22.55 +             
166.7.133.89	11:56 am  Monday June 21, 2010	30	3	  SEELEY LAKE RS MT 22.55 +             
166.7.133.89	11:58 am  Monday June 21, 2010	30	3	  SEELEY LAKE RS MT 22.55 +             
166.7.133.89	12:15 pm  Monday June 21, 2010	30	26	  MOSCOW U OF I ID                      
166.7.133.89	12:22 pm  Monday June 21, 2010	30	26	  MOSCOW U OF I ID                      
166.7.133.89	12:55 pm  Monday June 21, 2010	30	7	  MOSCOW U OF I ID                      
166.7.133.89	12:56 pm  Monday June 21, 2010	30	7	  MOSCOW U OF I ID                      
70.90.131.145	03:50 pm  Monday June 21, 2010	30	5	  Telegraph +                           
166.7.133.89	05:00 pm  Monday June 21, 2010	30	26	  MOSCOW U OF I ID                      
198.82.17.53	06:36 am  Friday June 25, 2010	1	114	  Brazil +                              
198.82.17.53	06:44 am  Friday June 25, 2010	1	32	  Brazil +                              
198.82.17.53	06:47 am  Friday June 25, 2010	1	32	  Brazil +                              
198.82.17.53	06:50 am  Friday June 25, 2010	1	32	  Brazil +                              
198.82.17.53	06:52 am  Friday June 25, 2010	1	32	  Brazil +                              
198.82.17.53	06:53 am  Friday June 25, 2010	1	32	  Brazil +                              
198.82.17.53	06:54 am  Friday June 25, 2010	1	32	  Brazil +                              
198.82.17.53	12:04 pm  Friday June 25, 2010	1	32	  BIRMINGHAM WB AP AL                   
166.7.174.78	08:01 am  Monday June 28, 2010	30	1	  SEELEY LAKE RS MT 22.55 +             
166.7.174.78	03:41 pm  Monday June 28, 2010	30	1	  STEVENSVILLE MT                       
71.59.2.6	05:23 pm  Wednesday June 30, 2010	30	1	  Brazil +                              
71.59.2.6	05:23 pm  Wednesday June 30, 2010	30	1	  Brazil +                              
71.59.2.6	05:24 pm  Wednesday June 30, 2010	30	1	  Brazil +                              
71.59.2.6	05:24 pm  Wednesday June 30, 2010	30	1	  Brazil +                              
71.59.2.6	05:34 pm  Wednesday June 30, 2010	1	114	  Brazil +                              
71.59.2.6	05:35 pm  Wednesday June 30, 2010	1	114	  Brazil +                              
166.2.227.32	11:00 am  Thursday July 1, 2010	30	5	  WESTCLIFFE CO, modified +             
218.21.78.116	01:25 am  Monday July 5, 2010	30	5	  HANA AP 355 HI +                      
166.7.174.78	04:50 pm  Tuesday July 6, 2010	30	173	  STEVENSVILLE MT                       
166.7.174.78	05:02 pm  Tuesday July 6, 2010	30	173	  WARREN ID Santiam +                   
166.7.133.89	05:09 pm  Tuesday July 6, 2010	30	3	  MOSCOW U OF I ID                      
166.7.174.78	05:11 pm  Tuesday July 6, 2010	30	173	  OROFINO ID Santiam +                  
166.7.174.78	05:16 pm  Tuesday July 6, 2010	30	173	  WARREN ID Santiam +                   
166.7.174.78	05:35 pm  Tuesday July 6, 2010	30	173	  WARREN ID Santiam +                   
166.7.174.78	09:31 am  Wednesday July 7, 2010	30	173	  FENN RS ID Santiam1 +                 
166.7.174.78	09:45 am  Wednesday July 7, 2010	30	173	  FENN RS ID Santiam1 +                 
166.7.133.89	09:47 am  Wednesday July 7, 2010	30	16	  MOSCOW U OF I ID                      
166.7.174.78	09:56 am  Wednesday July 7, 2010	30	173	  FENN RS ID Santiam1 +                 
166.7.133.89	09:57 am  Wednesday July 7, 2010	30	4	  MOSCOW U OF I ID                      
166.7.174.78	10:23 am  Wednesday July 7, 2010	30	173	  FENN RS ID Santiam1 +                 
166.7.133.89	10:26 am  Wednesday July 7, 2010	30	49	  MOSCOW U OF I ID                      
12.175.230.55	06:15 pm  Thursday July 8, 2010	30	1	  BOWIE TX                              
166.7.149.154	03:22 pm  Monday July 12, 2010	30	3	  Flower_Timber_09 +                    
166.7.77.112	02:33 pm  Tuesday July 13, 2010	50	10	  Telegraph +                           
166.7.77.112	02:35 pm  Tuesday July 13, 2010	50	10	  Telegraph +                           
166.7.77.112	02:38 pm  Tuesday July 13, 2010	50	6	  Telegraph +                           
166.7.77.112	02:54 pm  Tuesday July 13, 2010	50	10	  Telegraph +                           
166.7.77.112	03:49 pm  Tuesday July 13, 2010	50	10	  Telegraph +                           
166.7.77.112	10:06 am  Wednesday July 14, 2010	50	14	  Telegraph +                           
166.7.77.112	10:23 am  Wednesday July 14, 2010	50	14	  Telegraph +                           
166.7.77.112	10:27 am  Wednesday July 14, 2010	50	1	  Telegraph +                           
166.7.77.112	10:28 am  Wednesday July 14, 2010	50	2	  Telegraph +                           
166.7.77.112	10:31 am  Wednesday July 14, 2010	50	10	  Telegraph +                           
166.7.77.112	10:32 am  Wednesday July 14, 2010	50	9	  Telegraph +                           
166.7.46.173	11:21 am  Friday July 16, 2010	30	2	  SEELEY LAKE RS MT 22.55 +             
166.7.46.173	11:35 am  Friday July 16, 2010	30	4	  SEELEY LAKE RS MT 22.55 +             
166.2.64.157	04:23 pm  Monday July 19, 2010	10	5	  FLAGSTAFF WB AP AZ                    
166.2.64.157	04:24 pm  Monday July 19, 2010	10	5	  FLAGSTAFF WB AP AZ                    
166.7.4.218	11:51 am  Tuesday July 20, 2010	30	5	  SEELEY LAKE RS MT 22.55 +             
166.2.64.157	12:52 pm  Tuesday July 27, 2010	30	2	  SEELEY LAKE RS MT 22.55 +             
166.2.64.157	03:41 pm  Tuesday July 27, 2010	30	5	  FLAGSTAFF WB AP AZ                    
166.2.64.157	03:43 pm  Tuesday July 27, 2010	30	5	  FLAGSTAFF WB AP AZ                    
166.5.84.104	04:00 pm  Tuesday July 27, 2010	50	3	  WILLITS 1NE CA                        
166.5.84.104	09:43 am  Wednesday July 28, 2010	50	2	  WILLITS 1NE CA                        
24.116.111.153	09:48 am  Wednesday July 28, 2010	30	75	  North Fork East River +               
166.5.84.104	10:39 am  Wednesday July 28, 2010	50	2	  WILLITS 1NE CA                        
166.5.84.104	10:41 am  Wednesday July 28, 2010	50	2	  WILLITS 1NE CA                        
166.5.84.104	11:36 am  Wednesday July 28, 2010	50	2	  WILLITS 1NE CA                        
166.5.84.104	11:37 am  Wednesday July 28, 2010	50	2	  WILLITS 1NE CA                        
166.5.84.104	12:00 pm  Wednesday July 28, 2010	50	1	  WILLITS 1NE CA                        
166.5.84.104	12:12 pm  Wednesday July 28, 2010	50	1	  WILLITS 1NE CA                        
166.5.84.104	12:13 pm  Wednesday July 28, 2010	50	2	  WILLITS 1NE CA                        
166.5.84.104	12:15 pm  Wednesday July 28, 2010	50	2	  WILLITS 1NE CA                        
24.116.111.153	12:32 pm  Wednesday July 28, 2010	30	146	  North Fork East River +               
24.116.111.153	12:45 pm  Wednesday July 28, 2010	30	146	  North Fork East River +               
166.5.84.104	12:59 pm  Wednesday July 28, 2010	50	2	  WILLITS 1NE CA                        
166.5.84.104	12:59 pm  Wednesday July 28, 2010	50	2	  WILLITS 1NE CA                        
166.5.84.104	12:59 pm  Wednesday July 28, 2010	50	2	  WILLITS 1NE CA                        
166.5.84.104	01:00 pm  Wednesday July 28, 2010		3	 WILLITS 1NE CA                         
166.5.84.104	01:01 pm  Wednesday July 28, 2010	50	2	  WILLITS 1NE CA                        
166.5.84.104	01:10 pm  Wednesday July 28, 2010	50	2	  WILLITS 1NE CA                        
166.5.84.104	01:11 pm  Wednesday July 28, 2010	50	2	  WILLITS 1NE CA                        
166.5.84.104	01:11 pm  Wednesday July 28, 2010	50	2	  WILLITS 1NE CA                        
166.5.84.104	01:19 pm  Wednesday July 28, 2010	50	2	  WILLITS 1NE CA                        
166.5.84.104	01:46 pm  Wednesday July 28, 2010	50	2	  WILLITS 1NE CA                        
166.5.84.104	01:51 pm  Wednesday July 28, 2010	50	1	  WILLITS 1NE CA                        
166.5.84.104	01:51 pm  Wednesday July 28, 2010	50	1	  WILLITS 1NE CA                        
166.5.84.104	01:52 pm  Wednesday July 28, 2010	50	1	  WILLITS 1NE CA                        
166.5.84.104	01:53 pm  Wednesday July 28, 2010	50	1	  WILLITS 1NE CA                        
166.5.84.104	01:54 pm  Wednesday July 28, 2010	50	1	  WILLITS 1NE CA                        
166.5.84.104	01:55 pm  Wednesday July 28, 2010	50	1	  WILLITS 1NE CA                        
166.5.84.104	01:57 pm  Wednesday July 28, 2010	50	1	  WILLITS 1NE CA                        
166.5.84.104	01:58 pm  Wednesday July 28, 2010	50	1	  WILLITS 1NE CA                        
166.5.84.104	02:01 pm  Wednesday July 28, 2010	50	1	  WILLITS 1NE CA                        
166.5.84.104	02:25 pm  Wednesday July 28, 2010	50	1	  WILLITS 1NE CA                        
166.5.84.104	02:29 pm  Wednesday July 28, 2010	50	1	  WILLITS 1NE CA                        
166.5.84.104	04:04 pm  Wednesday July 28, 2010	50	3	  WILLITS 1NE CA                        
166.5.84.104	04:09 pm  Wednesday July 28, 2010	50	3	  WILLITS 1NE CA                        
166.5.84.104	04:15 pm  Wednesday July 28, 2010	50	3	  WILLITS 1NE CA                        
24.116.111.153	04:22 pm  Wednesday July 28, 2010	30	31	  Indian and Two Mouth +                
24.116.111.153	04:30 pm  Wednesday July 28, 2010	30	31	  Indian and Two Mouth +                
24.116.111.153	05:25 pm  Wednesday July 28, 2010	30	39	  Indian and Two Mouth +                
71.59.2.6	04:36 pm  Sunday August 1, 2010	1	4	  Brazil2 +                             
71.59.2.6	04:36 pm  Sunday August 1, 2010	1	4	  Brazil2 +                             
71.59.2.6	04:37 pm  Sunday August 1, 2010	1	4	  Brazil2 +                             
71.59.2.6	04:37 pm  Sunday August 1, 2010	1	4	  Brazil2 +                             
166.7.149.189	06:47 am  Tuesday August 3, 2010	50	56	  LibbyTailings +                       
166.7.149.189	06:54 am  Tuesday August 3, 2010	50	56	  LibbyTailings +                       
166.7.149.189	07:01 am  Tuesday August 3, 2010	50	32	  LibbyTailings +                       
166.7.149.189	07:04 am  Tuesday August 3, 2010	50	3	  LibbyTailings +                       
166.7.149.189	07:07 am  Tuesday August 3, 2010	50	2	  LibbyTailings +                       
166.7.149.189	07:11 am  Tuesday August 3, 2010	50	25	  LibbyMine +                           
166.7.149.189	07:14 am  Tuesday August 3, 2010	50	9	  LibbyMine +                           
166.7.149.189	07:19 am  Tuesday August 3, 2010	50	38	  LibbyTailings +                       
166.7.149.189	07:22 am  Tuesday August 3, 2010	50	9	  LibbyMine +                           
166.7.149.189	07:25 am  Tuesday August 3, 2010	50	3	  LibbyTailings +                       
166.7.149.189	12:29 pm  Tuesday August 3, 2010	50	2	  LibbyTailings +                       
166.7.149.189	12:39 pm  Tuesday August 3, 2010	50	4	  LibbyTailings +                       
166.7.149.189	12:42 pm  Tuesday August 3, 2010	50	3	  LibbyTailings +                       
166.7.149.189	12:44 pm  Tuesday August 3, 2010	50	4	  LibbyTailings +                       
166.7.149.189	12:46 pm  Tuesday August 3, 2010	50	1	  LibbyTailings +                       
166.7.149.189	12:59 pm  Tuesday August 3, 2010	50	9	  LibbyTailings +                       
166.7.149.189	01:02 pm  Tuesday August 3, 2010	50	1	  LibbyTailings +                       
166.7.149.189	01:08 pm  Tuesday August 3, 2010	50	12	  CrazymanRds +                         
166.7.149.189	01:13 pm  Tuesday August 3, 2010	50	5	  CrazymanRds +                         
166.7.149.189	01:18 pm  Tuesday August 3, 2010	50	3	  LibbyTailings +                       
166.7.149.189	01:22 pm  Tuesday August 3, 2010	50	54	  LibbyTailings +                       
166.7.149.189	01:25 pm  Tuesday August 3, 2010	50	9	  LibbyTailings +                       
166.7.149.189	01:27 pm  Tuesday August 3, 2010	50	2	  LibbyTailings +                       
166.7.149.189	01:52 pm  Tuesday August 3, 2010	50	6	  CrazymanRds +                         
166.7.149.189	01:56 pm  Tuesday August 3, 2010	50	6	  CrazymanRds +                         
166.7.149.189	02:06 pm  Tuesday August 3, 2010	50	3	  LibbyTailings +                       
166.7.149.189	02:10 pm  Tuesday August 3, 2010	50	2	  CrazymanRds +                         
166.7.149.189	06:46 am  Wednesday August 4, 2010	30	38	  CrazymanRds +                         
166.7.149.189	07:11 am  Wednesday August 4, 2010	30	3	  LibbyTailings +                       
166.7.149.189	07:12 am  Wednesday August 4, 2010	50	3	  LibbyTailings +                       
166.7.149.189	07:17 am  Wednesday August 4, 2010	50	38	  CrazymanRds +                         
166.7.149.189	08:04 am  Wednesday August 4, 2010	50	2	  LibbyTailings +                       
166.7.149.189	08:11 am  Wednesday August 4, 2010	50	25	  LibbyMine +                           
166.7.149.189	08:14 am  Wednesday August 4, 2010	50	2	  LibbyTailings +                       
166.7.149.189	08:15 am  Wednesday August 4, 2010	50	2	  LibbyTailings +                       
166.7.149.189	08:32 am  Wednesday August 4, 2010	50	3	  LibbyTailings +                       
166.7.149.189	08:34 am  Wednesday August 4, 2010	50	3	  LibbyTailings +                       
166.7.149.189	08:38 am  Wednesday August 4, 2010	50	2	  LibbyTailings +                       
166.7.149.189	09:03 am  Wednesday August 4, 2010	50	4	  LibbyTailings +                       
166.7.149.189	09:07 am  Wednesday August 4, 2010	50	9	  LibbyTailings +                       
166.7.149.189	09:10 am  Wednesday August 4, 2010	50	1	  LibbyTailings +                       
166.7.149.189	09:12 am  Wednesday August 4, 2010	50	1	  LibbyTailings +                       
166.7.149.189	09:16 am  Wednesday August 4, 2010	50	9	  LibbyTailings +                       
166.7.149.189	09:19 am  Wednesday August 4, 2010	50	2	  LibbyTailings +                       
166.7.149.189	09:21 am  Wednesday August 4, 2010	50	3	  LibbyTailings +                       
166.7.149.189	04:03 pm  Wednesday August 4, 2010	50	4	  LibbyTailings +                       
166.7.149.189	04:09 pm  Wednesday August 4, 2010	50	3	  LibbyTailings +                       
166.7.149.189	04:13 pm  Wednesday August 4, 2010	50	3	  LibbyTailings +                       
166.7.149.189	04:20 pm  Wednesday August 4, 2010	50	3	  LibbyTailings +                       
166.7.149.189	04:23 pm  Wednesday August 4, 2010	50	3	  LibbyTailings +                       
166.7.149.189	04:27 pm  Wednesday August 4, 2010	50	3	  LibbyTailings +                       
166.7.149.189	04:33 pm  Wednesday August 4, 2010	50	3	  LibbyTailings +                       
166.7.149.189	06:14 am  Thursday August 5, 2010	50	3	  LibbyTailings +                       
166.7.149.189	06:16 am  Thursday August 5, 2010	50	3	  LibbyTailings +                       
166.7.149.189	06:24 am  Thursday August 5, 2010	50	1	  LibbyTailings +                       
166.7.149.189	06:29 am  Thursday August 5, 2010	50	3	  LibbyTailings +                       
166.7.149.189	11:44 am  Thursday August 5, 2010	50	3	  LibbyTailings +                       
166.7.149.189	11:45 am  Thursday August 5, 2010	50	3	  LibbyTailings +                       
166.7.149.189	12:03 pm  Thursday August 5, 2010	50	1	  LibbyTailings +                       
166.7.149.189	12:04 pm  Thursday August 5, 2010	50	1	  LibbyTailings +                       
166.7.149.189	12:09 pm  Thursday August 5, 2010	50	1	  LibbyTailings +                       
166.7.149.189	12:14 pm  Thursday August 5, 2010	50	1	  LibbyTailings +                       
166.7.149.189	12:19 pm  Thursday August 5, 2010	50	1	  LibbyTailings +                       
166.7.149.189	12:45 pm  Thursday August 5, 2010	50	2	  CrazymanRds +                         
166.7.149.189	01:01 pm  Thursday August 5, 2010	50	38	  CrazymanRds +                         
166.7.149.189	01:07 pm  Thursday August 5, 2010	50	38	  CrazymanRds +                         
166.2.227.32	09:05 am  Saturday August 7, 2010	30	21	  WESTCLIFFE CO, modified +             
166.2.227.32	09:15 am  Saturday August 7, 2010	30	21	  WESTCLIFFE CO, modified +             
166.2.227.32	10:07 am  Saturday August 7, 2010	30	21	  WESTCLIFFE CO, mod2 +                 
166.2.227.32	10:11 am  Saturday August 7, 2010	30	3	  WESTCLIFFE CO, mod2 +                 
166.2.227.32	10:18 am  Saturday August 7, 2010	30	1	  WESTCLIFFE CO, mod2 +                 
166.2.227.32	10:23 am  Saturday August 7, 2010	30	1	  WESTCLIFFE CO, mod2 +                 
166.2.227.32	10:24 am  Saturday August 7, 2010	30	3	  WESTCLIFFE CO, mod2 +                 
166.2.227.32	10:30 am  Saturday August 7, 2010	30	77	  WESTCLIFFE CO, mod2 +                 
166.2.227.32	10:34 am  Saturday August 7, 2010	30	7	  WESTCLIFFE CO, mod2 +                 
166.2.227.32	10:38 am  Saturday August 7, 2010	30	11	  WESTCLIFFE CO, mod2 +                 
166.2.227.32	10:41 am  Saturday August 7, 2010	30	14	  WESTCLIFFE CO, mod2 +                 
166.7.149.189	06:29 am  Monday August 9, 2010	50	6	  CrazymanRds +                         
166.7.149.189	06:38 am  Monday August 9, 2010	50	38	  CrazymanRds +                         
166.7.149.189	06:41 am  Monday August 9, 2010	50	9	  LibbyMine +                           
166.7.149.189	06:49 am  Monday August 9, 2010	50	9	  LibbyMine +                           
166.7.149.189	06:51 am  Monday August 9, 2010	50	12	  CrazymanRds +                         
166.7.149.189	06:54 am  Monday August 9, 2010	50	12	  CrazymanRds +                         
166.7.149.189	06:57 am  Monday August 9, 2010	50	5	  CrazymanRds +                         
166.2.227.32	07:40 am  Wednesday August 11, 2010	30	14	  WESTCLIFFE CO, mod2 +                 
166.2.227.32	07:46 am  Wednesday August 11, 2010	30	77	  WESTCLIFFE CO, mod2 +                 
204.124.92.254	01:02 pm  Wednesday August 11, 2010	3	1	 FAIRFIELD  R S ID                      
204.124.92.254	01:03 pm  Wednesday August 11, 2010		1	 FAIRFIELD  R S ID                      
204.124.92.254	01:03 pm  Wednesday August 11, 2010	3	1	 FAIRFIELD  R S ID                      
204.124.92.254	01:03 pm  Wednesday August 11, 2010	3	1	 FAIRFIELD  R S ID                      
204.124.92.254	01:04 pm  Wednesday August 11, 2010	3	5	  FAIRFIELD  R S ID                     
199.144.13.220	06:22 am  Thursday August 12, 2010	30	1	  PRESQUE ISLE ME                       
199.144.13.220	06:27 am  Thursday August 12, 2010	30	1	  PRESQUE ISLE ME                       
199.144.13.220	06:31 am  Thursday August 12, 2010	30	1	  PRESQUE ISLE ME                       
166.7.149.189	03:48 pm  Thursday August 12, 2010	50	10	  EastResHigh +                         
166.7.149.189	03:53 pm  Thursday August 12, 2010	50	3	  EastResHigh +                         
166.7.149.189	04:02 pm  Thursday August 12, 2010	50	19	  EastResHigh +                         
166.2.64.157	07:09 am  Tuesday August 17, 2010	30	5	  Iron Springs +                        
166.2.64.157	10:31 am  Tuesday August 17, 2010	30	5	  Iron Springs +                        
166.2.64.157	12:24 pm  Wednesday August 18, 2010	30	2	  Iron Springs +                        
166.2.64.157	12:25 pm  Wednesday August 18, 2010	30	2	  Iron Springs +                        
166.2.64.157	12:25 pm  Wednesday August 18, 2010	30	2	  Iron Springs +                        
166.2.64.157	12:27 pm  Wednesday August 18, 2010	30	2	  Iron Springs +                        
166.2.64.157	12:32 pm  Wednesday August 18, 2010	30	2	  Iron Springs +                        
166.2.64.157	12:33 pm  Wednesday August 18, 2010	30	2	  Iron Springs +                        
166.4.123.108	06:23 am  Thursday August 19, 2010	30	5	  STAUNTON D AND B IN VA                
166.4.123.108	06:37 am  Thursday August 19, 2010	30	1	  STAUNTON D AND B IN VA                
166.4.123.108	06:45 am  Thursday August 19, 2010	30	6	  STAUNTON D AND B IN VA                
166.2.64.157	07:23 am  Thursday August 19, 2010	30	2	  Iron Springs +                        
166.2.64.157	07:26 am  Thursday August 19, 2010	30	2	  Iron Springs +                        
166.2.64.157	07:50 am  Thursday August 19, 2010	30	4	  Iron Springs +                        
166.2.64.157	07:58 am  Thursday August 19, 2010	30	6	  Iron Springs +                        
166.4.123.108	08:02 am  Thursday August 19, 2010	30	6	  Mill Creek Dam +                      
166.4.123.108	08:04 am  Thursday August 19, 2010	30	6	  Mill Creek Dam +                      
166.2.64.157	08:11 am  Thursday August 19, 2010	30	8	  Iron Springs +                        
166.4.123.108	08:11 am  Thursday August 19, 2010	30	6	  Mill Creek Dam 2 +                    
166.4.123.108	08:15 am  Thursday August 19, 2010	30	6	  Mill Creek Dam 2 +                    
166.4.123.108	09:53 am  Thursday August 19, 2010	30	6	  Mill Creek Dam 2 +                    
166.4.123.108	10:32 am  Thursday August 19, 2010	30	6	  Mill Creek Dam 2003 +                 
166.4.123.108	10:45 am  Thursday August 19, 2010	30	6	  Mill Creek Dam 2003 +                 
166.4.123.108	10:57 am  Thursday August 19, 2010	30	6	  Mill Creek Dam 2003 +                 
75.13.100.41	06:56 pm  Monday August 23, 2010	30	37	  Tijuana +                             
75.13.100.41	07:03 pm  Monday August 23, 2010	30	37	  Tijuana +                             
75.13.100.41	07:09 pm  Monday August 23, 2010	30	37	  Tijuana +                             
166.7.149.189	06:15 am  Tuesday August 24, 2010	50	1	  LibbyMine +                           
166.7.149.189	06:19 am  Tuesday August 24, 2010	50	1	  LibbyMine +                           
166.7.149.189	06:19 am  Tuesday August 24, 2010	50	1	  LibbyMine +                           
166.7.149.189	06:27 am  Tuesday August 24, 2010	50	3	  CrazymanRds +                         
166.7.149.189	06:31 am  Tuesday August 24, 2010	50	2	  LibbyMine +                           
166.7.149.189	06:35 am  Tuesday August 24, 2010	50	3	  LibbyMine +                           
166.7.149.189	06:40 am  Tuesday August 24, 2010	50	3	  LibbyMine +                           
166.7.149.189	06:46 am  Tuesday August 24, 2010	50	2	  CrazymanRds +                         
166.7.149.189	06:56 am  Tuesday August 24, 2010	50	1	  CrazymanRds +                         
166.7.149.189	07:04 am  Tuesday August 24, 2010	50	6	  LibbyMine +                           
166.7.149.189	07:09 am  Tuesday August 24, 2010	50	4	  LibbyMine +                           
166.7.149.189	07:15 am  Tuesday August 24, 2010	50	5	  LibbyMine +                           
166.7.149.189	07:23 am  Tuesday August 24, 2010	50	8	  CrazymanRds +                         
166.7.149.189	07:26 am  Tuesday August 24, 2010	50	8	  CrazymanRds +                         
166.7.149.189	07:35 am  Tuesday August 24, 2010	50	20	  CrazymanRds +                         
166.7.149.189	07:38 am  Tuesday August 24, 2010	50	20	  CrazymanRds +                         
166.7.149.189	07:45 am  Tuesday August 24, 2010	50	8	  CrazymanRds +                         
166.7.149.189	07:47 am  Tuesday August 24, 2010	50	8	  CrazymanRds +                         
166.7.149.189	07:52 am  Tuesday August 24, 2010	50	3	  CrazymanRds +                         
166.7.149.189	07:58 am  Tuesday August 24, 2010	50	8	  CrazymanRds +                         
166.7.149.189	08:10 am  Tuesday August 24, 2010	50	9	  CrazymanRds +                         
166.7.149.189	08:13 am  Tuesday August 24, 2010	50	3	  CrazymanRds +                         
166.7.149.189	08:17 am  Tuesday August 24, 2010	50	4	  LibbyMine +                           
70.230.193.110	02:39 pm  Tuesday August 24, 2010	30	34	  Tijuana +                             
70.230.193.110	02:42 pm  Tuesday August 24, 2010	30	34	  Tijuana +                             
70.230.193.110	02:46 pm  Tuesday August 24, 2010	30	34	  Tijuana +                             
166.6.212.127	12:49 pm  Wednesday August 25, 2010	30	5	  Kettle Face Runs +                    
130.191.118.158	03:53 pm  Wednesday August 25, 2010	30	24	  SAN DIEGO WB AP CA +                  
130.191.118.158	03:54 pm  Wednesday August 25, 2010	30	24	  SAN DIEGO WB AP CA +                  
130.191.118.158	03:58 pm  Wednesday August 25, 2010	30	201	  SAN DIEGO WB AP CA +                  
130.191.118.158	04:00 pm  Wednesday August 25, 2010	30	201	  SAN DIEGO WB AP CA +                  
130.191.118.158	04:03 pm  Wednesday August 25, 2010	30	201	  SAN DIEGO WB AP CA +                  
130.191.118.158	04:06 pm  Wednesday August 25, 2010	30	166	  SAN DIEGO WB AP CA +                  
130.191.118.158	04:08 pm  Wednesday August 25, 2010	30	47	  SAN DIEGO WB AP CA +                  
130.191.118.158	04:09 pm  Wednesday August 25, 2010	30	76	  SAN DIEGO WB AP CA +                  
130.191.118.158	04:11 pm  Wednesday August 25, 2010	30	4	  SAN DIEGO WB AP CA +                  
130.191.118.158	04:12 pm  Wednesday August 25, 2010	30	35	  SAN DIEGO WB AP CA +                  
130.191.118.158	04:29 pm  Wednesday August 25, 2010	30	34	  SAN DIEGO WB AP CA +                  
130.191.118.158	04:43 pm  Wednesday August 25, 2010	30	34	  SAN DIEGO WB AP CA +                  
166.7.111.3	01:25 pm  Thursday August 26, 2010	30	60	  Griffin Burns +                       
166.2.241.58	10:22 am  Wednesday September 8, 2010	30	5	  DEL NORTE CO                          
166.6.191.208	11:57 am  Thursday September 9, 2010	3	5	  TOKETEE FALLS OR                      
166.6.191.208	12:09 pm  Thursday September 9, 2010	5	5	  TOKETEE FALLS OR +                    
143.128.64.29	02:39 am  Friday September 10, 2010	30	5	  MOSCOW U OF I ID                      
143.128.64.29	02:41 am  Friday September 10, 2010	30	5	  MOSCOW U OF I ID                      
72.65.91.60	10:49 pm  Saturday September 11, 2010	30	5	  INDIANAPOLIS WB AP IN                 
142.157.198.62	02:35 pm  Tuesday September 14, 2010	30	1	  SEELEY LAKE RS MT 22.55 +             
142.157.198.62	02:37 pm  Tuesday September 14, 2010	30	1	  SEELEY LAKE RS MT 22.55 +             
142.157.198.62	02:40 pm  Tuesday September 14, 2010	30	1	  MOUNT SHASTA CA                       
166.7.46.173	03:08 pm  Tuesday September 21, 2010	30	6	  SEELEY LAKE RS MT 22.55 +             
71.216.250.233	09:40 am  Thursday September 23, 2010	30	1	  Elliston +                            
71.216.250.233	09:41 am  Thursday September 23, 2010	30	2	  Elliston +                            
71.216.250.233	02:32 pm  Thursday September 23, 2010	30	2	  Elliston +                            
71.216.250.233	02:33 pm  Thursday September 23, 2010	30	2	  Elliston +                            
71.216.250.233	02:34 pm  Thursday September 23, 2010	30	3	  Elliston +                            
71.216.250.233	02:44 pm  Thursday September 23, 2010	30	4	  Elliston +                            
71.216.250.233	02:45 pm  Thursday September 23, 2010	30	4	  Elliston +                            
71.216.250.233	02:46 pm  Thursday September 23, 2010	30	5	  Elliston +                            
71.216.250.233	02:52 pm  Thursday September 23, 2010	30	6	  Elliston +                            
71.216.250.233	03:42 pm  Thursday September 23, 2010	30	7	  Elliston +                            
71.216.250.233	03:48 pm  Thursday September 23, 2010	30	8	  Elliston +                            
71.216.250.233	03:55 pm  Thursday September 23, 2010	30	8	  Elliston +                            
166.7.149.189	02:17 pm  Tuesday September 28, 2010	50	4	  WolfPleasantValley +                  
166.7.149.189	02:21 pm  Tuesday September 28, 2010	50	4	  WolfPleasantValley +                  
166.7.149.189	02:29 pm  Tuesday September 28, 2010	50	2	  WolfPleasantValley +                  
166.7.149.189	02:38 pm  Tuesday September 28, 2010	50	4	  WolfPleasantValley +                  
24.37.200.9	03:10 pm  Tuesday September 28, 2010	30	2	  FLAGSTAFF WB AP AZ                    
132.206.210.22	08:24 pm  Tuesday September 28, 2010	1	2	  FLAGSTAFF WB AP AZ                    
132.206.210.22	08:25 pm  Tuesday September 28, 2010	20	2	  FLAGSTAFF WB AP AZ                    
132.206.210.22	08:30 pm  Tuesday September 28, 2010	30	2	  FLAGSTAFF WB AP AZ                    
71.216.250.233	07:32 am  Wednesday September 29, 2010	30	1	  EUREKA +                              
71.216.250.233	07:32 am  Wednesday September 29, 2010	30	2	  EUREKA +                              
71.216.250.233	07:43 am  Wednesday September 29, 2010	30	3	  EUREKA +                              
71.216.250.233	07:54 am  Wednesday September 29, 2010		4	 EUREKA +                               
71.216.250.233	07:54 am  Wednesday September 29, 2010	30	4	  EUREKA +                              
71.216.250.233	07:55 am  Wednesday September 29, 2010	30	5	  EUREKA +                              
166.7.46.173	12:12 pm  Thursday September 30, 2010	30	41	  Colt Summit +                         
166.7.46.173	12:36 pm  Thursday September 30, 2010	30	42	  Colt Summit +                         
166.7.149.189	01:58 pm  Thursday September 30, 2010	50	2	  WolfPleasantValley +                  
