166.7.74.132	01:03 pm  Tuesday January 5, 2010	30	  HOMESTAKE2 MT +                       	 LATT=  45.92 LONG= 112.39
166.7.74.132	01:04 pm  Tuesday January 5, 2010	30	  HOMESTAKE2 MT +                       	 LATT=  45.92 LONG= 112.39
166.7.74.132	01:04 pm  Tuesday January 5, 2010	30	  HOMESTAKE2 MT +                       	 LATT=  45.92 LONG= 112.39
166.7.74.132	01:05 pm  Tuesday January 5, 2010	30	  HOMESTAKE2 MT +                       	 LATT=  45.92 LONG= 112.39
166.7.74.132	01:05 pm  Tuesday January 5, 2010	30	  HOMESTAKE2 MT +                       	 LATT=  45.92 LONG= 112.39
166.5.84.104	09:12 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	09:29 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	09:30 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	09:31 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	09:32 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	09:33 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	09:34 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	09:34 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	09:35 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	09:37 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	10:59 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	11:07 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	11:08 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	11:09 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	11:14 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	11:15 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	11:17 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	11:25 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	11:26 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.110.26	11:48 am  Wednesday January 6, 2010	30	  Wildgal Dixie, OR +                   	 LATT=  42.04 LONG= 122.32
166.5.84.104	11:50 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
