170.144.200.75	"04:15 pm  Tuesday June 30, 2020"	65	2018.04.01	"*_MORMON_FLAT_AZ"
170.144.234.65	"08:18 am  Wednesday July 1, 2020"	12	2018.04.01	"*_PAYSON_WB_CITY_AZ_ "
170.144.234.65	"09:09 am  Wednesday July 1, 2020"	130	2018.04.01	"*_PAYSON_WB_CITY_AZ_modified_ "
170.144.246.129	"03:00 pm  Monday July 6, 2020"	26	2018.04.01	"*_ROOSEVELT_AZ_ "
170.144.220.88	"09:07 pm  Tuesday July 7, 2020"	75	2018.04.01	"*_Poeville_Fire_ "
170.144.246.91	"08:14 am  Wednesday July 8, 2020"	13	2018.04.01	"*_LSM34_CAREFREE_AZ_ "
170.144.246.91	"08:27 am  Wednesday July 8, 2020"	19	2018.04.01	"*_LSM_2_CAREFREE_AZ_ _ "
170.144.246.91	"09:24 am  Wednesday July 8, 2020"	13	2018.04.01	"*_LSM34_CAREFREE_AZ_ "
68.189.12.146	"12:08 pm  Wednesday July 8, 2020"	287	2018.04.01	"*_Keswick1_ "
68.189.12.146	"01:12 pm  Wednesday July 8, 2020"	287	2018.04.01	"*_Keswick1_ "
68.189.12.146	"01:54 pm  Wednesday July 8, 2020"	287	2018.04.01	"*_Keswick1_ "
68.189.12.146	"11:13 am  Thursday July 9, 2020"	107	2018.04.01	"*_Valley1_ "
68.189.12.146	"11:59 am  Thursday July 9, 2020"	107	2018.04.01	"*_Valley1_ "
68.189.12.146	"12:02 pm  Thursday July 9, 2020"	107	2018.04.01	"*_Valley1_ "
166.2.22.232	"05:32 pm  Tuesday July 14, 2020"	218	2018.04.01	"*_MOSCOW_U_OF_I_ID"
166.2.22.232	"05:32 pm  Tuesday July 14, 2020"	218	2018.04.01	"*_MOSCOW_U_OF_I_ID"
166.2.22.232	"05:33 pm  Tuesday July 14, 2020"	218	2018.04.01	"*_MOSCOW_U_OF_I_ID"
166.2.22.232	"05:34 pm  Tuesday July 14, 2020"	218	2018.04.01	"*_MOSCOW_U_OF_I_ID"
166.2.22.232	"08:53 am  Thursday July 16, 2020"	218	2018.04.01	"*_MOSCOW_U_OF_I_ID"
170.144.243.190	"10:22 am  Saturday August 15, 2020"	7	2018.04.01	"*_STEWART_MTN_AZ_Goldfield_ "
170.144.254.101	"03:51 pm  Saturday August 15, 2020"	35	2018.04.01	"*_Gold2_ "
170.144.254.101	"03:54 pm  Saturday August 15, 2020"	35	2018.04.01	"*_Gold2_ "
170.144.254.101	"03:57 pm  Saturday August 15, 2020"	35	2018.04.01	"*_Gold2_ "
170.144.254.101	"04:00 pm  Saturday August 15, 2020"	35	2018.04.01	"*_Gold2_ "
170.144.254.101	"04:07 pm  Saturday August 15, 2020"	35	2018.04.01	"*_Gold2_ "
170.144.254.101	"04:09 pm  Saturday August 15, 2020"	35	2018.04.01	"*_Gold2_ "
170.144.254.101	"04:32 pm  Saturday August 15, 2020"	35	2018.04.01	"*_Gold2_ "
170.144.254.101	"04:38 pm  Saturday August 15, 2020"	35	2018.04.01	"*_Gold2_ "
170.144.254.101	"04:47 pm  Saturday August 15, 2020"	35	2018.04.01	"*_Gold2_ "
170.144.254.101	"04:47 pm  Saturday August 15, 2020"	35	2018.04.01	"*_Gold2_ "
170.144.192.113	"06:19 pm  Saturday August 15, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.192.113	"06:20 pm  Saturday August 15, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.192.113	"06:21 pm  Saturday August 15, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.192.113	"06:22 pm  Saturday August 15, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.192.113	"06:22 pm  Saturday August 15, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.192.113	"06:25 pm  Saturday August 15, 2020"	30	2017.02.03	"*_July_Complex_ "
170.144.192.113	"06:33 pm  Saturday August 15, 2020"	1	2018.04.01	"*_July_Complex_ "
170.144.192.113	"06:36 pm  Saturday August 15, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.192.113	"06:36 pm  Saturday August 15, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.192.113	"06:47 pm  Saturday August 15, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.192.113	"06:49 pm  Saturday August 15, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.192.113	"07:21 pm  Saturday August 15, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.192.113	"07:25 pm  Saturday August 15, 2020"	6	2018.04.01	"*_July_Complex_ "
170.144.192.113	"07:25 pm  Saturday August 15, 2020"	5	2018.04.01	"*_July_Complex_ "
170.144.192.113	"07:26 pm  Saturday August 15, 2020"	5	2018.04.01	"*_July_Complex_ "
170.144.192.113	"07:27 pm  Saturday August 15, 2020"	4	2018.04.01	"*_July_Complex_ "
170.144.192.113	"07:28 pm  Saturday August 15, 2020"	4	2018.04.01	"*_July_Complex_ "
170.144.192.113	"07:29 pm  Saturday August 15, 2020"	4	2018.04.01	"*_July_Complex_ "
170.144.192.113	"07:34 pm  Saturday August 15, 2020"	4	2017.02.03	"*_July_Complex_ "
170.144.192.113	"07:35 pm  Saturday August 15, 2020"	4	2017.02.03	"*_July_Complex_ "
170.144.192.113	"07:36 pm  Saturday August 15, 2020"	4	2017.02.03	"*_July_Complex_ "
170.144.192.113	"07:37 pm  Saturday August 15, 2020"	4	2017.02.03	"*_July_Complex_ "
170.144.192.113	"07:39 pm  Saturday August 15, 2020"	4	2018.04.01	"*_July_Complex_ "
170.144.192.113	"07:42 pm  Saturday August 15, 2020"	30	2017.02.03	"*_July_Complex_ "
170.144.192.113	"07:44 pm  Saturday August 15, 2020"	10	2017.02.03	"*_Scorpion_Fire_ "
170.144.192.113	"07:50 pm  Saturday August 15, 2020"	30	2017.02.03	"*_July_Complex_ "
170.144.192.113	"07:52 pm  Saturday August 15, 2020"	30	2017.02.03	"*_July_Complex_ "
170.144.192.113	"07:54 pm  Saturday August 15, 2020"	30	2017.02.03	"*_July_Complex_ "
170.144.192.113	"08:01 pm  Saturday August 15, 2020"	30	2017.02.03	"*_July_Complex_ "
170.144.192.113	"08:06 pm  Saturday August 15, 2020"	29	2017.02.03	"*_July_Complex_ "
170.144.192.113	"08:23 pm  Saturday August 15, 2020"	29	2017.02.03	"*_July_Complex_ "
170.144.192.113	"08:29 pm  Saturday August 15, 2020"	29	2017.02.03	"*_July_Complex_ "
170.144.192.113	"08:34 pm  Saturday August 15, 2020"	29	2017.02.03	"*_July_Complex_ "
170.144.192.113	"08:40 pm  Saturday August 15, 2020"	29	2018.04.01	"*_July_Complex_ "
170.144.192.113	"08:45 pm  Saturday August 15, 2020"	29	2017.02.03	"*_July_Complex_ "
170.144.192.113	"08:58 pm  Saturday August 15, 2020"	29	2017.02.03	"*_July_Complex_ "
170.144.192.113	"09:04 pm  Saturday August 15, 2020"	29	2017.02.03	"*_July_Complex_ "
170.144.192.113	"09:05 pm  Saturday August 15, 2020"	29	2017.02.03	"*_July_Complex_ "
170.144.192.113	"09:08 pm  Saturday August 15, 2020"	29	2017.02.03	"*_July_Complex_ "
170.144.192.113	"09:10 pm  Saturday August 15, 2020"	29	2017.02.03	"*_July_Complex_ "
170.144.192.113	"09:11 pm  Saturday August 15, 2020"	29	2017.02.03	"*_July_Complex_ "
170.144.192.113	"09:13 pm  Saturday August 15, 2020"	29	2017.02.03	"*_July_Complex_ "
170.144.192.113	"09:15 pm  Saturday August 15, 2020"	29	2017.02.03	"*_July_Complex_ "
170.144.192.113	"09:19 pm  Saturday August 15, 2020"	29	2017.02.03	"*_July_Complex_ "
170.144.192.113	"09:23 pm  Saturday August 15, 2020"	29	2017.02.03	"*_July_Complex_ "
170.144.192.113	"09:30 pm  Saturday August 15, 2020"	29	2018.04.01	"*_July_Complex_ "
170.144.192.113	"09:33 pm  Saturday August 15, 2020"	29	2018.04.01	"*_July_Complex_ "
170.144.192.113	"09:36 pm  Saturday August 15, 2020"	29	2018.04.01	"*_July_Complex_ "
170.144.196.144	"08:02 am  Sunday August 16, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.196.144	"08:05 am  Sunday August 16, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.196.144	"08:06 am  Sunday August 16, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.196.144	"08:08 am  Sunday August 16, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.196.144	"08:11 am  Sunday August 16, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.196.144	"08:15 am  Sunday August 16, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.196.144	"08:19 am  Sunday August 16, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.196.144	"08:24 am  Sunday August 16, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.196.144	"08:25 am  Sunday August 16, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.196.144	"08:26 am  Sunday August 16, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.196.144	"08:26 am  Sunday August 16, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.196.144	"08:36 am  Sunday August 16, 2020"	30	2017.02.03	"*_July_Complex_ "
170.144.196.144	"08:43 am  Sunday August 16, 2020"	30	2018.04.01	"*_ALTURAS_CA_ "
170.144.196.144	"08:50 am  Sunday August 16, 2020"	30	2018.04.01	"*_July_Complex_ "
170.144.196.144	"10:20 am  Sunday August 16, 2020"	35	2018.04.01	"*_Gold_Fire_ "
170.144.196.144	"10:23 am  Sunday August 16, 2020"	35	2018.04.01	"*_Gold_Fire_ "
170.144.196.144	"10:24 am  Sunday August 16, 2020"	35	2018.04.01	"*_Gold_Fire_ "
170.144.196.144	"10:26 am  Sunday August 16, 2020"	35	2018.04.01	"*_Gold_Fire_ "
170.144.196.144	"10:27 am  Sunday August 16, 2020"	35	2018.04.01	"*_Gold_Fire_ "
170.144.196.144	"10:32 am  Sunday August 16, 2020"	35	2018.04.01	"*_Gold_Fire_ "
170.144.234.73	"03:39 pm  Monday August 17, 2020"	133	2018.04.01	"*_AppleFire_ck_ "
170.144.240.172	"07:03 am  Tuesday August 25, 2020"	7	2018.04.01	"*_ROOSEVELT_AZ_ "
170.144.240.172	"10:30 am  Tuesday August 25, 2020"	4	2018.04.01	"*_STEWART_MTN_AZ_ "
170.144.240.172	"12:41 pm  Tuesday August 25, 2020"	4	2018.04.01	"*_STEWART_MTN_AZ_ "
170.144.96.7	"01:18 pm  Tuesday August 25, 2020"	4	2018.04.01	"*_STEWART_MTN_AZ_ "
170.144.96.7	"01:23 pm  Tuesday August 25, 2020"	4	2018.04.01	"*_STEWART_MTN_AZ_ "
170.144.96.7	"01:29 pm  Tuesday August 25, 2020"	4	2018.04.01	"*_STEWART_MTN_AZ_ "
170.144.96.7	"01:32 pm  Tuesday August 25, 2020"	4	2018.04.01	"*_STEWART_MTN_AZ_ "
170.144.246.190	"04:53 pm  Tuesday August 25, 2020"	7	2018.04.01	"*_STEWART_MTN_AZ_ "
170.144.87.113	"03:52 pm  Friday August 28, 2020"	20	2018.04.01	"*_STEWART_MTN_AZ_ "
68.189.12.146	"06:44 pm  Friday August 28, 2020"	389	2018.04.01	"*_Apple1_ "
68.189.12.146	"11:23 am  Sunday August 30, 2020"	229	2018.04.01	"*_Carmel_Fire_ "
68.189.12.146	"12:42 pm  Sunday August 30, 2020"	229	2018.04.01	"*_Carmel_Fire_ "
170.144.238.42	"02:55 pm  Sunday August 30, 2020"	131	2018.04.01	"*_Loyalton_Fire_ "
170.144.251.133	"03:51 pm  Sunday August 30, 2020"	295	2018.04.01	"*_Ranch_2_Fire_ "
170.144.251.133	"07:26 pm  Sunday August 30, 2020"	295	2018.04.01	"*_Ranch_2_Fire_ "
68.189.12.146	"09:58 pm  Sunday August 30, 2020"	200	2018.04.01	"*_Carmel_Fire_ "
68.189.12.146	"11:13 pm  Sunday August 30, 2020"	200	2018.04.01	"*_Carmel_Fire_ "
68.189.12.146	"11:50 pm  Sunday August 30, 2020"	200	2018.04.01	"*_Carmel_Fire_ "
68.189.12.146	"09:35 am  Monday August 31, 2020"	196	2018.04.01	"*_Carmel_Fire_ "
68.189.12.146	"10:28 am  Monday August 31, 2020"	196	2018.04.01	"*_Carmel_Fire_ "
68.189.12.146	"03:48 pm  Monday August 31, 2020"	298	2018.04.01	"*_River_Fire1_ "
68.189.12.146	"08:15 am  Tuesday September 1, 2020"	298	2018.04.01	"*_River_Fire1_ "
170.144.110.236	"02:35 pm  Wednesday September 2, 2020"	101	2018.04.01	"*_MIAMI_AZ_ "
170.144.110.236	"03:07 pm  Wednesday September 2, 2020"	101	2018.04.01	"*_MIAMI_AZ_ "
