166.2.53.140	"03:50 pm  Friday January 9, 2015"	""		
166.2.53.140	"03:50 pm  Friday January 9, 2015"	"RENO WSFO AP NV"	  39.50	-119.78
166.2.53.140	"03:51 pm  Friday January 9, 2015"	"RENO WSFO AP NV"	  39.50	-119.78
158.68.66.254	"11:31 am  Tuesday January 13, 2015"	"OR GULCH +"	  42.33	 122.71
158.68.66.254	"11:42 am  Tuesday January 13, 2015"	"OR GULCH +"	  42.33	 122.71
158.68.66.254	"11:44 am  Tuesday January 13, 2015"	"OR GULCH +"	  42.33	 122.71
95.17.107.150	"11:59 am  Tuesday January 13, 2015"	"Miraflores de la Sierra +"	  40.81	  -3.77
95.17.107.150	"12:01 pm  Tuesday January 13, 2015"	"Miraflores de la Sierra +"	  40.81	  -3.77
95.17.107.150	"12:09 pm  Tuesday January 13, 2015"	"Miraflores de la Sierra +"	  40.81	  -3.77
95.17.107.150	"12:13 pm  Tuesday January 13, 2015"	"Miraflores de la Sierra +"	  40.81	  -3.77
95.17.107.150	"12:17 pm  Tuesday January 13, 2015"	"Miraflores de la Sierra +"	  40.81	  -3.77
95.17.107.150	"12:18 pm  Tuesday January 13, 2015"	"Miraflores de la Sierra +"	  40.81	  -3.77
95.17.107.150	"12:26 pm  Tuesday January 13, 2015"	"Miraflores de la Sierra +"	  40.81	  -3.77
158.68.66.254	"12:33 pm  Tuesday January 13, 2015"	"OR GULCH +"	  42.33	 122.71
158.68.66.254	"01:11 pm  Tuesday January 13, 2015"	"OR GULCH +"	  42.33	 122.71
107.200.248.209	"09:43 am  Wednesday January 14, 2015"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
107.200.248.209	"09:44 am  Wednesday January 14, 2015"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
209.60.101.1	"11:04 am  Thursday January 15, 2015"	"DENVER WB AP CO"	  39.77	-104.88
199.151.212.208	"11:38 am  Thursday January 15, 2015"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
199.151.212.208	"11:38 am  Thursday January 15, 2015"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
174.107.239.180	"06:03 am  Friday January 16, 2015"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
174.107.239.180	"06:06 am  Friday January 16, 2015"	"CHERAW SC"	  34.70	 -79.90
199.131.211.57	"11:00 am  Friday January 16, 2015"	"MIO HYDRO PLANT MI"	  44.67	 -84.12
209.60.101.1	"11:12 am  Friday January 16, 2015"	"MOSCOW U OF I ID"	  46.73	-117.00
209.60.101.1	"11:20 am  Friday January 16, 2015"	"MORONI UT +"	  39.53	-111.58
209.60.101.1	"09:57 am  Monday January 19, 2015"	"MORONI UT +"	  39.53	-111.58
209.60.101.1	"09:57 am  Monday January 19, 2015"	"MORONI UT +"	  39.53	-111.58
209.60.101.1	"09:58 am  Monday January 19, 2015"	"MOSCOW U OF I ID"	  46.73	-117.00
209.60.101.1	"10:26 am  Monday January 19, 2015"	"MANTI UT"	  39.27	-111.65
209.60.101.1	"10:26 am  Monday January 19, 2015"	"MANTI UT"	  39.27	-111.65
209.60.101.1	"10:28 am  Monday January 19, 2015"	"MORONI UT +"	  39.53	-111.58
209.60.101.1	"12:29 pm  Monday January 19, 2015"	"Wood Hollow +"	  39.27	-111.65
209.60.101.1	"12:36 pm  Monday January 19, 2015"	"Wood Hollow +"	  39.27	-111.65
209.60.101.1	"12:38 pm  Monday January 19, 2015"	"Wood Hollow +"	  39.27	-111.65
209.60.101.1	"12:42 pm  Monday January 19, 2015"	"Wood Hollow +"	  39.27	-111.65
209.60.101.1	"12:44 pm  Monday January 19, 2015"	"Wood Hollow +"	  39.27	-111.65
209.60.101.1	"12:45 pm  Monday January 19, 2015"	"Wood Hollow +"	  39.27	-111.65
209.60.101.1	"12:48 pm  Monday January 19, 2015"	"Wood Hollow +"	  39.27	-111.65
209.60.101.1	"12:48 pm  Monday January 19, 2015"	"Wood Hollow +"	  39.27	-111.65
209.60.101.1	"12:50 pm  Monday January 19, 2015"	"Wood Hollow +"	  39.27	-111.65
209.60.101.1	"12:54 pm  Monday January 19, 2015"	"Wood Hollow +"	  39.27	-111.65
209.60.101.1	"12:56 pm  Monday January 19, 2015"	"Wood Hollow +"	  39.27	-111.65
203.6.146.5	"11:33 pm  Monday January 19, 2015"	"MOSCOW U OF I ID"	  46.73	-117.00
203.6.146.5	"11:39 pm  Monday January 19, 2015"	"MOSCOW U OF I ID"	  46.73	-117.00
83.59.10.164	"03:17 am  Tuesday January 20, 2015"	"Malaga, Spain +"	  36.39	   4.28
83.59.10.164	"03:22 am  Tuesday January 20, 2015"	"Malaga, Spain +"	  36.39	   4.28
158.68.232.40	"07:01 am  Tuesday January 20, 2015"	"Yakama Forest Elev. 3119 +"	  46.53	 120.89
146.50.34.33	"07:27 am  Tuesday January 20, 2015"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
158.68.232.40	"07:27 am  Tuesday January 20, 2015"	"Yakama Forest Elev. 3119 +"	  46.53	 120.89
158.68.232.40	"07:28 am  Tuesday January 20, 2015"	"Yakama Forest Elev. 3119 +"	  46.53	 120.89
158.68.232.40	"07:31 am  Tuesday January 20, 2015"	"Yakama Forest Elev. 4435 + +"	  46.65	 121.01
158.68.232.40	"07:32 am  Tuesday January 20, 2015"	"Yakama Forest Elev. 4435 + +"	  46.65	 121.01
158.68.232.40	"07:33 am  Tuesday January 20, 2015"	"Yakama Forest Elev. 4435 + +"	  46.65	 121.01
144.39.209.95	"10:42 am  Wednesday January 21, 2015"	"LEVAN UT"	  39.55	-111.87
144.39.209.95	"10:42 am  Wednesday January 21, 2015"	"LEVAN UT"	  39.55	-111.87
144.39.209.95	"10:51 am  Wednesday January 21, 2015"	"LEVAN UT"	  39.55	-111.87
144.39.209.95	"10:54 am  Wednesday January 21, 2015"	"LEVAN UT"	  39.55	-111.87
144.39.209.95	"10:55 am  Wednesday January 21, 2015"	"LEVAN UT"	  39.55	-111.87
144.39.209.95	"10:58 am  Wednesday January 21, 2015"	"LEVAN UT"	  39.55	-111.87
144.39.209.95	"10:59 am  Wednesday January 21, 2015"	"LEVAN UT"	  39.55	-111.87
144.39.209.95	"11:00 am  Wednesday January 21, 2015"	"LEVAN UT"	  39.55	-111.87
144.39.209.95	"11:01 am  Wednesday January 21, 2015"	"LEVAN UT"	  39.55	-111.87
144.39.209.95	"11:03 am  Wednesday January 21, 2015"	"LEVAN UT"	  39.55	-111.87
144.39.209.95	"11:03 am  Wednesday January 21, 2015"	"LEVAN UT"	  39.55	-111.87
144.39.209.95	"11:04 am  Wednesday January 21, 2015"	"LEVAN UT"	  39.55	-111.87
144.39.209.95	"11:07 am  Wednesday January 21, 2015"	"LEVAN UT"	  39.55	-111.87
144.39.209.95	"11:08 am  Wednesday January 21, 2015"	"LEVAN UT"	  39.55	-111.87
166.2.22.165	"11:41 am  Wednesday January 21, 2015"	"High Park Fire Monitoring Site +"	  40.62	 105.22
144.39.209.95	"12:51 pm  Wednesday January 21, 2015"	"LEVAN UT"	  39.55	-111.87
203.6.146.5	"09:51 pm  Wednesday January 21, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:54 pm  Wednesday January 21, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
84.127.246.57	"11:44 pm  Wednesday January 21, 2015"	"Alicante, Spain + + +"	  38.37	   0.49
84.127.246.57	"11:55 pm  Wednesday January 21, 2015"	"Alicante, Spain + + +"	  38.37	   0.49
84.127.246.57	"00:49 am  Thursday January 22, 2015"	"Alicante, Spain + + +"	  38.37	   0.49
166.6.80.183	"03:20 pm  Thursday January 22, 2015"	"ClackamasWater +"	  45.30	 121.77
166.6.80.183	"03:20 pm  Thursday January 22, 2015"	"ClackamasWater +"	  45.30	 121.77
166.6.80.183	"03:21 pm  Thursday January 22, 2015"	"ClackamasWater +"	  45.30	 121.77
166.6.80.183	"03:22 pm  Thursday January 22, 2015"	"ClackamasWater +"	  45.30	 121.77
203.6.146.5	"05:29 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"07:19 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"07:54 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"07:58 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"07:59 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"07:59 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"08:12 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"08:51 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"08:54 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
