166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
158.68.66.254	"01:29 pm  Tuesday January 13, 2015"	5	"OR GULCH +"	  42.33	 122.71
158.68.66.254	"01:36 pm  Tuesday January 13, 2015"	5	"OR GULCH +"	  42.33	 122.71
158.68.66.254	"01:38 pm  Tuesday January 13, 2015"	10	"OR GULCH +"	  42.33	 122.71
166.7.133.90	"01:54 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:54 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:54 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:54 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:54 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:54 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:54 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:54 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:54 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:54 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:54 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
