204.76.196.11	05:53 am  Wednesday March 19, 2014	30	5	  BIRMINGHAM WB AP AL                   
204.76.196.11	05:54 am  Wednesday March 19, 2014	30	5	  BIRMINGHAM WB AP AL                   
204.76.196.11	06:01 am  Wednesday March 19, 2014	30	5	  BIRMINGHAM WB AP AL                   
204.76.196.11	06:01 am  Wednesday March 19, 2014	30	5	  BIRMINGHAM WB AP AL                   
204.76.196.11	06:01 am  Wednesday March 19, 2014	30	5	  BIRMINGHAM WB AP AL                   
204.76.196.11	06:02 am  Wednesday March 19, 2014	30	5	  BIRMINGHAM WB AP AL                   
74.111.24.235	09:01 pm  Friday March 21, 2014	30	4	  CORTLAND NY                           
74.111.24.235	11:40 am  Saturday March 22, 2014	30	2	  CORTLAND NY                           
74.111.24.235	11:41 am  Saturday March 22, 2014	30	4	  CORTLAND NY                           
74.111.24.235	11:42 am  Saturday March 22, 2014	30	8	  CORTLAND NY                           
166.7.156.149	02:59 pm  Monday March 24, 2014	30	11	  SP lower +                            
166.7.156.149	03:04 pm  Monday March 24, 2014	30	8	  SP mid +                              
166.7.156.149	03:07 pm  Monday March 24, 2014	30	14	  SP upper +                            
166.7.163.106	10:57 am  Friday March 28, 2014	30	1	  SP - upper +                          
166.6.97.144	01:47 pm  Tuesday April 1, 2014	30	5	  MAZAMA 2 W WA                         
96.51.73.42	05:02 am  Thursday April 3, 2014	30	5	  MOUNT SHASTA CA                       
96.51.73.42	05:02 am  Thursday April 3, 2014	30	5	  MOUNT SHASTA CA                       
96.51.73.42	05:02 am  Thursday April 3, 2014	30	5	  MOUNT SHASTA CA                       
14.139.57.195	07:39 am  Thursday April 3, 2014	30	5	  BIRMINGHAM WB AP AL                   
166.5.84.119	07:47 am  Friday April 11, 2014	30	1	  LAKEPORT CA                           
166.5.84.119	07:47 am  Friday April 11, 2014	30	1	  LAKEPORT CA                           
166.5.84.119	08:35 am  Friday April 11, 2014	30	17	  LAKEPORT CA                           
166.5.84.119	08:35 am  Friday April 11, 2014	30	17	  LAKEPORT CA                           
