
193.146.109.18	"05:16 am  Monday March 25, 2019"	"Orense, Spain + +"	  42.40	  -7.86
129.130.18.195	"05:43 pm  Monday March 25, 2019"	"CHARLESTON KAN AP WV"	  38.37	 -81.60
129.130.18.195	"05:45 pm  Monday March 25, 2019"	"CHARLESTON KAN AP WV"	  38.37	 -81.60
70.179.161.58	"08:28 pm  Monday March 25, 2019"	"CHARLESTON KAN AP WV"	  38.37	 -81.60
193.146.109.25	"04:56 am  Tuesday March 26, 2019"	"Orense, Spain + + +"	  42.40	  -7.86
138.100.123.199	"05:44 am  Tuesday March 26, 2019"	"LA SOTONERA xxxxx +"	  42.11	  -0.67
138.100.123.199	"05:50 am  Tuesday March 26, 2019"	"Gerona Sierra, Spain +"	  41.97	  2.833
132.241.174.197	"08:21 am  Tuesday March 26, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
166.7.134.151	"09:54 am  Tuesday March 26, 2019"	"SAINT MARIES ID + +"	  47.14	 116.05
98.146.222.220	"03:26 pm  Thursday March 28, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
129.101.136.57	"09:41 am  Friday March 29, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
204.124.92.254	"02:16 pm  Friday March 29, 2019"	"ARBON 2NW ID +"	  42.54	 112.53
204.124.92.254	"03:29 pm  Friday March 29, 2019"	"ARBON 2NW ID +"	  42.54	 112.53
178.156.122.185	"08:38 am  Sunday March 31, 2019"	"JASPER GA"	  34.47	 -84.43
178.156.122.185	"08:39 am  Sunday March 31, 2019"	"JASPER GA"	  34.47	 -84.43
178.156.122.185	"01:14 pm  Sunday March 31, 2019"	"MARANCHON +"	  41.00	  -2.00
178.156.122.185	"01:16 pm  Sunday March 31, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
178.156.122.185	"01:18 pm  Sunday March 31, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
