
192.88.140.11	"03:12 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
174.237.172.145	"03:13 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.11	"03:13 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"03:13 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.11	"03:13 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"03:14 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.10	"03:15 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.10	"03:15 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.10	"03:15 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.11	"03:16 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.10	"03:16 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.10	"03:16 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.11	"03:17 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.11	"03:18 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.11	"03:18 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.10	"03:19 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"03:19 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.12	"03:19 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
174.237.172.145	"03:19 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.11	"03:22 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.11	"03:22 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.10	"03:25 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"03:25 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.10	"03:25 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"03:26 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"03:26 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.175.233	"04:27 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"02:18 pm  Wednesday April 17, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
192.88.140.12	"02:19 pm  Wednesday April 17, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
192.88.140.12	"02:23 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.11	"02:30 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.242.54	"02:30 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"02:30 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"02:30 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
