
206.123.180.162	"09:45 am  Wednesday March 20, 2019"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
206.123.191.246	"09:46 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.159	"09:48 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.179	"09:49 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
206.123.191.246	"09:52 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.159	"09:53 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"09:54 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.159	"09:55 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.179	"09:56 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
206.123.180.162	"09:56 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.179	"09:57 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
206.123.180.150	"10:02 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.162	"10:03 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
170.144.229.99	"10:04 am  Wednesday March 20, 2019"	30	"Cleveland Powerlines +"	  32.84	 116.65
206.123.180.162	"10:05 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.162	"10:06 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.162	"10:06 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.173	"10:06 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"10:07 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"10:10 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
170.144.229.99	"10:12 am  Wednesday March 20, 2019"	30	"Cleveland Powerlines +"	  32.84	 116.65
170.144.229.99	"10:12 am  Wednesday March 20, 2019"	30	"Cleveland Powerlines +"	  32.84	 116.65
206.123.191.246	"10:12 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
170.144.229.99	"10:13 am  Wednesday March 20, 2019"	30	"Cleveland Powerlines +"	  32.84	 116.65
206.123.191.246	"10:14 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.177	"10:14 am  Wednesday March 20, 2019"	30	"Seminar 8 +"	  47.27	 123.70
206.123.180.162	"10:14 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
170.144.229.99	"10:14 am  Wednesday March 20, 2019"	30	"Cleveland Powerlines +"	  32.84	 116.65
206.123.180.162	"10:15 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.153	"10:15 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.177	"10:16 am  Wednesday March 20, 2019"	30	"Seminar 8 +"	  47.27	 123.70
206.123.180.153	"10:16 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.177	"10:17 am  Wednesday March 20, 2019"	30	"Seminar 8 +"	  47.27	 123.70
206.123.191.246	"10:17 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.153	"10:18 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"10:18 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"10:18 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.179	"10:18 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
206.123.180.179	"10:19 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA + +"	  47.27	-123.70
206.123.191.246	"10:19 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"10:20 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"10:20 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.174	"10:21 am  Wednesday March 20, 2019"	30	"Seminar 8 Climate +"	  47.31	 123.90
206.123.180.167	"10:21 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
206.123.180.162	"10:21 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.162	"10:21 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"10:21 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"10:22 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.175	"10:22 am  Wednesday March 20, 2019"	30	"Seminar 8 +"	  47.27	-123.70
206.123.180.162	"10:22 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.162	"10:23 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.173	"10:23 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.162	"10:23 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
