WD	wepp-153251	"07:42 pm  Friday May 8, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-153563	"07:54 pm  Friday May 8, 2020"	"SAINT MARIES ID _FINAL +"	10	silt	Sod	400	0	30	40	20	OldForest	75	30	5	100	20	0	ft	""
WD	wepp-153599	"07:54 pm  Friday May 8, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-153784	"08:01 pm  Friday May 8, 2020"	"SAINT MARIES ID _FINAL +"	10	silt	Sod	400	0	30	40	20	OldForest	30	30	5	100	20	0	ft	""
WD	wepp-153819	"08:01 pm  Friday May 8, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-153983	"08:04 pm  Friday May 8, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-154069	"08:05 pm  Friday May 8, 2020"	"SAINT MARIES ID _FINAL +"	30	silt	graveled	200	4	13	15	50	1	25	20	inveg	ft
WR	wepp-154104	"08:05 pm  Friday May 8, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-154510	"08:25 pm  Friday May 8, 2020"	"SAINT MARIES ID _FINAL +"	10	silt	LowFire	400	0	30	85	20	LowFire	75	30	5	85	20	0	ft	""
WD	wepp-154545	"08:25 pm  Friday May 8, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-154584	"08:27 pm  Friday May 8, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-154594	"08:27 pm  Friday May 8, 2020"	"SAINT MARIES ID _FINAL +"	10	silt	Sod	400	0	30	40	20	OldForest	30	30	5	100	20	0	ft	""
WD	wepp-154629	"08:27 pm  Friday May 8, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-154910	"08:49 pm  Friday May 8, 2020"	"SAINT MARIES ID _FINAL +"	10	silt	LowFire	400	0	30	85	20	LowFire	75	30	5	85	20	0	ft	""
WD	wepp-154946	"08:49 pm  Friday May 8, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-154987	"08:50 pm  Friday May 8, 2020"	"SAINT MARIES ID _FINAL +"	10	silt	Sod	400	0	30	40	20	OldForest	75	30	5	100	20	0	ft	""
WD	wepp-155022	"08:50 pm  Friday May 8, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
