wt	wepp-134904	"Feb 4, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-127061	"01:46 pm  Sunday February 7, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-69322	"Feb 10, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-13318	"03:26 am  Tuesday February 16, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-216247	"Feb 17, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-192571	"02:28 am  Sunday February 21, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-123751	"10:33 am  Monday February 22, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-239875	"Feb 23, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-190627	"06:31 pm  Saturday February 27, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-3389	"Feb 29, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-220700	"10:41 pm  Friday March 4, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-25775	"Mar 6, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-79003	"10:34 am  Tuesday March 15, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-79006	"Mar 15, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-100517	"03:35 am  Saturday March 19, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-171675	"07:37 am  Monday March 21, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-171685	"Mar 21, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-200891	"03:36 am  Sunday March 27, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-200894	"Mar 27, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-177621	"07:43 pm  Friday April 1, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-177624	"Apr 1, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-221831	"11:48 am  Thursday April 7, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-221833	"Apr 7, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-200414	"07:29 am  Wednesday April 13, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-200425	"Apr 13, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-35268	"03:38 pm  Thursday April 14, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-234465	"03:31 pm  Tuesday April 19, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-234470	"Apr 19, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-198636	"07:41 am  Monday April 25, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-198640	"Apr 25, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-184565	"May 1, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-184578	"03:40 am  Sunday May 1, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-61723	"May 6, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-61727	"03:41 pm  Friday May 6, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-158103	"May 12, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-187526	"03:29 am  Friday May 13, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-151533	"May 18, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-8695	"11:41 am  Saturday May 21, 2016"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-36153	"07:31 pm  Sunday May 22, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
