WE	wepp-227305	"03:50 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	28.99	37.45	44.78	37.4018	l	15	75	m
WE	wepp-227405	"03:51 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	41.33	72.72	35.4	28.66138	u	15	75	m
WE	wepp-227435	"03:51 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	40.07	69.01	39.08	26.27293	l	15	75	m
WE	wepp-227527	"03:51 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	26.87	34.41	34.69	137.3396	u	15	75	m
WE	wepp-227557	"03:51 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	26.4	50.86	46.67	19.2109	u	15	75	m
WE	wepp-227587	"03:51 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	18.39	47.99	43.76	17.67403	l	15	75	m
WE	wepp-227682	"03:51 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	39.36	40.61	41.86	91.44	m	15	75	m
WE	wepp-227817	"03:52 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	30.67	30.65	32.06	155.8254	u	15	75	m
WE	wepp-227847	"03:52 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	27.58	50.47	37.42	30.59282	u	15	75	m
WE	wepp-227877	"03:52 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	25.33	67.06	38.63	31.37725	l	15	75	m
WE	wepp-227970	"03:52 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	20.67	29.66	28.59	95.01955	u	15	75	m
WE	wepp-228000	"03:52 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	39	91.04	46.63	14.11976	l	15	75	m
WE	wepp-228091	"03:52 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	27.33	31.05	41.91	154.9473	u	15	75	m
WE	wepp-228124	"03:52 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	62.22	62.71	50.36	32.98153	l	15	75	m
WE	wepp-228215	"03:53 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	sand	5	range	46.86	91.14	50.61	35.22299	l	15	75	m
WE	wepp-228318	"03:53 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	27.33	37.37	25.93	138.0139	l	15	75	m
WE	wepp-228415	"03:53 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	12.26	43.37	39.8	61.23671	l	15	75	m
WE	wepp-228507	"03:53 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	sand	5	range	34.56	51.88	42.83	42.14526	l	15	75	m
WE	wepp-228597	"03:53 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	48.67	68.43	63.05	113.2807	m	15	75	m
WE	wepp-228727	"03:54 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	sand	5	range	55.67	67.48	35.99	57.66396	m	15	75	m
WE	wepp-228858	"03:54 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	24.98	47.61	49.05	184.0594	l	15	75	m
WE	wepp-228950	"03:54 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	34.67	47.52	52.98	93.73754	l	15	75	m
WE	wepp-229040	"03:54 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	25.46	46	51.85	72.31182	u	15	75	m
WE	wepp-229070	"03:54 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	26.4	55.2	50.81	67.19212	u	15	75	m
WE	wepp-229105	"03:55 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	47.33	60.13	71.08	76.76283	l	15	75	m
WE	wepp-229195	"03:55 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	sand	5	range	40.33	71.17	48.72	109.9009	m	15	75	m
WE	wepp-229327	"03:55 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	sand	5	range	38.13	62.44	52.81	108.3207	m	15	75	m
WE	wepp-229458	"03:55 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	sand	5	range	66	81.07	70.24	31.94141	m	15	75	m
WE	wepp-229595	"03:56 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	sand	5	range	48.56	69.87	56.45	77.29821	m	15	75	m
