WR	wepp-1008	"07:58 am  Thursday April 14, 2011"	"LUFKIN CAA AP TX"	30	silt	native	250	2	15	15	50	130	25	20	inveg	ft
WR	wepp-1014	"07:58 am  Thursday April 14, 2011"	"LUFKIN CAA AP TX"	30	silt	native	80	10	15	15	50	130	25	20	inveg	ft
WR	wepp-1022	"07:59 am  Thursday April 14, 2011"	"LUFKIN CAA AP TX"	30	silt	native	60	15	15	15	50	130	25	20	inveg	ft
WR	wepp-1102	"08:01 am  Thursday April 14, 2011"	"LUFKIN CAA AP TX"	30	silt	graveled	250	2	15	15	50	130	25	20	inveg	ft
WR	wepp-1117	"08:01 am  Thursday April 14, 2011"	"LUFKIN CAA AP TX"	30	silt	graveled	80	10	15	15	50	130	25	20	inveg	ft
WR	wepp-1122	"08:01 am  Thursday April 14, 2011"	"LUFKIN CAA AP TX"	30	silt	graveled	60	15	15	15	50	130	25	20	inveg	ft
WR	wepp-9319	"12:26 pm  Friday May 4, 2012"	"LUFKIN CAA AP TX"	30	sand	native	100	5	20	15	50	130	25	20	inveg	ft
WR	wepp-9339	"12:27 pm  Friday May 4, 2012"	"LUFKIN CAA AP TX"	30	sand	native	100	5	20	15	50	50	10	20	inveg	ft
WR	wepp-9359	"12:27 pm  Friday May 4, 2012"	"LUFKIN CAA AP TX"	30	sand	native	100	5	20	15	50	100	10	20	inveg	ft
WR	wepp-9380	"12:27 pm  Friday May 4, 2012"	"LUFKIN CAA AP TX"	30	sand	native	100	5	20	15	50	150	10	20	inveg	ft
WR	wepp-9400	"12:28 pm  Friday May 4, 2012"	"LUFKIN CAA AP TX"	30	sand	native	100	5	20	15	50	140	10	20	inveg	ft
WR	wepp-9419	"12:28 pm  Friday May 4, 2012"	"LUFKIN CAA AP TX"	30	sand	native	100	5	20	15	50	112	10	20	inveg	ft
WR	wepp-9439	"12:28 pm  Friday May 4, 2012"	"LUFKIN CAA AP TX"	30	sand	native	100	5	20	15	50	120	10	20	inveg	ft
WR	wepp-38143	"08:07 am  Monday March 27, 2017"	"PALESTINE WB CITY TX"	30	clay	native	800	3	18	20	50	130	25	20	inbare	ft
WR	wepp-3031	"06:40 pm  Monday April 2, 2018"	"PALESTINE WB CITY TX"	30	silt	native	18	4	13	20	50	130	25	20	inveg	ft
WR	wepp-3362	"06:46 pm  Monday April 2, 2018"	"PALESTINE WB CITY TX"	30	silt	native	18	4	13	20	50	130	25	20	inveg	ft
