WR	wepp-21320	"12:22 pm  Monday November 14, 2011"	"PORTLAND WB AIRPORT ME"	30	clay	graveled	800	12	16	10	50	15	2	20	outunrut	ft
WR	wepp-21333	"12:24 pm  Monday November 14, 2011"	"PORTLAND WB AIRPORT ME"	30	clay	graveled	800	12	16	10	50	15	2	20	outunrut	ft
WR	wepp-21868	"01:15 pm  Monday November 14, 2011"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	50	2	12	10	50	25	10	20	outrut	ft
WR	wepp-21903	"01:17 pm  Monday November 14, 2011"	"PORTLAND WB AIRPORT ME"	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-21909	"01:18 pm  Monday November 14, 2011"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	80	2	12	15	50	25	10	20	outrut	ft
WR	wepp-21956	"01:26 pm  Monday November 14, 2011"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	78	15	21	15	50	1	10	20	outunrut	ft
WR	wepp-21988	"01:29 pm  Monday November 14, 2011"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	36	3	26	15	50	1	10	20	outunrut	ft
WR	wepp-22018	"01:30 pm  Monday November 14, 2011"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	23	7	44	15	50	1	10	20	outunrut	ft
WR	wepp-15224	"11:36 am  Thursday December 29, 2011"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	300	9	20	15	50	75	9	20	inveg	ft
WR	wepp-15898	"12:45 pm  Thursday December 29, 2011"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	200	2	16	15	50	75	12	20	inveg	ft
WR	wepp-15917	"12:46 pm  Thursday December 29, 2011"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	70	4	16	15	50	75	12	20	inveg	ft
WR	wepp-17591	"03:18 pm  Wednesday October 3, 2012"	"PORTLAND WB AIRPORT ME"	30	silt	native	162	18	16	15	50	50	15	20	outrut	ft
WR	wepp-17699	"03:20 pm  Wednesday October 3, 2012"	"PORTLAND WB AIRPORT ME"	30	silt	native	162	18	16	15	50	50	15	20	inbare	ft
WR	wepp-17865	"03:23 pm  Wednesday October 3, 2012"	"PORTLAND WB AIRPORT ME"	30	silt	graveled	471	6	17	15	50	30	20	20	outrut	ft
WR	wepp-17884	"03:24 pm  Wednesday October 3, 2012"	"PORTLAND WB AIRPORT ME"	30	silt	native	471	6	17	15	50	30	20	20	outrut	ft
WR	wepp-17904	"03:26 pm  Wednesday October 3, 2012"	"PORTLAND WB AIRPORT ME"	30	silt	graveled	471	6	17	15	50	30	20	20	outrut	ft
WR	wepp-18571	"03:47 pm  Wednesday October 3, 2012"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	235	19	18	15	50	15	5	20	inbare	ft
WR	wepp-8987	"07:49 am  Wednesday December 26, 2012"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	250	4	16	16	50	20	25	20	outunrut	ft
WR	wepp-12661	"02:55 pm  Monday December 9, 2013"	"PORTLAND WB AIRPORT ME"	30	sand	native	160	18	16	40	12	65	22	20	outrut	ft
WR	wepp-12763	"03:00 pm  Monday December 9, 2013"	"PORTLAND WB AIRPORT ME"	30	sand	native	160	18	16	135	12	10	22	20	outrut	ft
WR	wepp-12813	"03:03 pm  Monday December 9, 2013"	"PORTLAND WB AIRPORT ME"	30	sand	native	160	18	16	10	12	135	22	20	inveg	ft
WR	wepp-12834	"03:04 pm  Monday December 9, 2013"	"PORTLAND WB AIRPORT ME"	30	sand	native	160	18	16	10	12	135	22	20	inbare	ft
WR	wepp-1108	"12:26 pm  Monday December 30, 2013"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	120	4	16	16	50	2	4	20	inbare	ft
WR	wepp-1155	"12:29 pm  Monday December 30, 2013"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	300	4	16	16	50	1	4	20	inbare	ft
WR	wepp-1515	"01:10 pm  Monday December 30, 2013"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	280	4	16	16	50	1	5	20	outrut	ft
WR	wepp-1696	"01:24 pm  Monday December 30, 2013"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	350	4	16	16	50	10	5	20	inbare	ft
WR	wepp-1927	"01:29 pm  Monday December 30, 2013"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	500	4	16	16	50	5	25	20	inbare	ft
WR	wepp-1947	"01:29 pm  Monday December 30, 2013"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	500	4	16	16	50	5	25	20	outrut	ft
WR	wepp-2272	"02:00 pm  Monday December 30, 2013"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	46	20	19	19	50	2	20	20	inbare	ft
WR	wepp-2292	"02:02 pm  Monday December 30, 2013"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	46	20	19	19	50	2	20	20	inbare	ft
WR	wepp-13356	"06:16 am  Tuesday December 31, 2013"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	120	4	16	15	10	2	4	20	inbare	ft
WR	wepp-13433	"06:25 am  Tuesday December 31, 2013"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	25	6	16	16	50	10	5	20	inbare	ft
WR	wepp-10398	"01:12 pm  Friday January 10, 2014"	"PORTLAND WB AIRPORT ME"	30	loam	graveled	300	2	25	4	0.5	1	0.3	20	inveg	ft
WR	wepp-10474	"01:14 pm  Friday January 10, 2014"	"PORTLAND WB AIRPORT ME"	30	loam	graveled	125	2	25	2.67	0.3	1	0.3	20	inveg	ft
WR	wepp-10513	"01:15 pm  Friday January 10, 2014"	"PORTLAND WB AIRPORT ME"	30	loam	graveled	175	4.5	30	2	1	1	0.3	20	inveg	ft
WR	wepp-239031	"10:15 am  Tuesday February 18, 2014"	"PORTLAND WB AIRPORT ME"	30	clay	graveled	148	10	11	15	50	130	25	20	inbare	ft
WR	wepp-239097	"10:18 am  Tuesday February 18, 2014"	"PORTLAND WB AIRPORT ME"	30	clay	graveled	148	10	11	15	50	130	25	20	inbare	ft
WR	wepp-239635	"10:19 am  Tuesday February 18, 2014"	"PORTLAND WB AIRPORT ME"	30	clay	graveled	80	15	11	15	50	130	25	20	inbare	ft
WR	wepp-241900	"10:23 am  Tuesday February 18, 2014"	"PORTLAND WB AIRPORT ME"	30	clay	graveled	41	32	8	15	50	15	25	20	inbare	ft
WR	wepp-241958	"10:26 am  Tuesday February 18, 2014"	"PORTLAND WB AIRPORT ME"	30	clay	graveled	150	5	16	15	50	10	10	20	outrut	ft
WR	wepp-241994	"10:26 am  Tuesday February 18, 2014"	"PORTLAND WB AIRPORT ME"	30	silt	graveled	150	5	16	15	50	10	10	20	outrut	ft
WR	wepp-242028	"10:27 am  Tuesday February 18, 2014"	"PORTLAND WB AIRPORT ME"	30	silt	graveled	150	5	16	1	0.3	10	10	20	outrut	ft
WR	wepp-243552	"10:30 am  Tuesday February 18, 2014"	"PORTLAND WB AIRPORT ME"	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-243688	"10:30 am  Tuesday February 18, 2014"	"PORTLAND WB AIRPORT ME"	30	sand	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-244822	"10:32 am  Tuesday February 18, 2014"	"PORTLAND WB AIRPORT ME"	30	sand	native	60	40	40	1	0.3	1	0.3	20	outrut	ft
WR	wepp-244857	"10:33 am  Tuesday February 18, 2014"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	148	10	11	5	10	130	25	20	inbare	ft
WR	wepp-197576	"10:46 am  Tuesday December 30, 2014"	"PORTLAND WB AIRPORT ME"	30	clay	graveled	1000	8	22	1000	8	1	0.3	20	outunrut	ft
WR	wepp-197615	"10:47 am  Tuesday December 30, 2014"	"PORTLAND WB AIRPORT ME"	30	clay	graveled	1000	8	22	1000	8	1	0.3	20	outunrut	ft
WR	wepp-198194	"11:06 am  Tuesday December 30, 2014"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	65	10	16	15	50	1	0.3	20	outrut	ft
WR	wepp-198232	"11:08 am  Tuesday December 30, 2014"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	65	20	16	15	50	1	0.3	20	outrut	ft
WR	wepp-198269	"11:08 am  Tuesday December 30, 2014"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	200	20	13	1	0.3	130	25	20	outrut	ft
WR	wepp-198328	"11:10 am  Tuesday December 30, 2014"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	200	4	13	1	0.3	130	25	20	outunrut	ft
WR	wepp-198367	"11:11 am  Tuesday December 30, 2014"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	80	15	110	1	0.3	1	0.3	20	outrut	ft
WR	wepp-198407	"11:12 am  Tuesday December 30, 2014"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	80	15	110	65	20	1	0.3	20	outrut	ft
WR	wepp-55456	"10:51 am  Monday December 28, 2015"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	300	4	16	300	50	15	45	20	outrut	ft
WR	wepp-57797	"11:45 am  Monday December 28, 2015"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	25	4	12	12	50	3	45	20	outunrut	ft
WR	wepp-6932	"07:30 am  Monday January 4, 2016"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	168	32	16	15	25	32	10	20	inveg	ft
WR	wepp-7352	"07:44 am  Monday January 4, 2016"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	168	32	16	15	25	32	10	20	inbare	ft
WR	wepp-222733	"08:13 am  Thursday March 15, 2018"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	42	10	16	15	50	25	25	20	inbare	ft
WR	wepp-223010	"08:19 am  Thursday March 15, 2018"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	75	10	16	15	50	25	25	20	inbare	ft
WR	wepp-223064	"08:23 am  Thursday March 15, 2018"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	75	10	16	75	10	25	5	20	inbare	ft
WR	wepp-223105	"08:23 am  Thursday March 15, 2018"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	150	10	16	150	10	25	5	20	inbare	ft
WR	wepp-223142	"08:24 am  Thursday March 15, 2018"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	150	10	16	150	10	25	15	20	inbare	ft
WR	wepp-223337	"08:41 am  Thursday March 15, 2018"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	50	8	15	50	8	25	15	20	inbare	ft
WR	wepp-223396	"08:42 am  Thursday March 15, 2018"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	50	8	15	50	8	25	15	20	inbare	ft
WR	wepp-223446	"08:43 am  Thursday March 15, 2018"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	50	8	15	50	8	25	15	20	outunrut	ft
WR	wepp-223483	"08:43 am  Thursday March 15, 2018"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	50	8	15	50	8	25	15	20	outrut	ft
WR	wepp-223597	"08:52 am  Thursday March 15, 2018"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	40	5	60	40	5	25	15	20	outrut	ft
WR	wepp-223659	"08:57 am  Thursday March 15, 2018"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	100	10	100	100	10	25	15	20	outrut	ft
WR	wepp-223706	"09:00 am  Thursday March 15, 2018"	"PORTLAND WB AIRPORT ME"	30	sand	native	15	8	20	15	8	25	15	20	outrut	ft
WR	wepp-223742	"09:01 am  Thursday March 15, 2018"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	15	8	20	15	8	25	15	20	outrut	ft
WR	wepp-223778	"09:01 am  Thursday March 15, 2018"	"PORTLAND WB AIRPORT ME"	30	sand	native	15	8	20	15	8	25	15	20	outrut	ft
WR	wepp-117740	"07:55 am  Friday September 7, 2018"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	155	6	16	15	6	130	6	20	inbare	ft
WR	wepp-117933	"08:04 am  Friday September 7, 2018"	"PORTLAND WB AIRPORT ME"	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-118001	"08:05 am  Friday September 7, 2018"	"PORTLAND WB AIRPORT ME"	30	sand	graveled	155	10	16	15	6	130	6	20	inbare	ft
