WD	wepp-4157	"08:10 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	HighFire	200	19	20	20	20	HighFire	200	19	20	20	20	0	ft	""
WD	wepp-4907	"09:34 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	HighFire	200	40	40	20	20	HighFire	200	40	40	20	20	0	ft	""
WD	wepp-4997	"09:41 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	HighFire	200	10	10	20	20	HighFire	200	10	10	20	20	0	ft	""
WD	wepp-5162	"09:48 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	HighFire	100	20	20	20	20	HighFire	100	20	20	20	20	0	ft	""
WD	wepp-5438	"10:04 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	silt	HighFire	200	20	20	20	20	HighFire	200	20	20	20	20	0	ft	""
WD	wepp-5458	"10:06 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	clay	HighFire	200	20	20	20	20	HighFire	200	20	20	20	20	0	ft	""
WR	wepp-5535	"10:14 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	native	200	5	13	15	30	1	20	20	outrut	ft
WR	wepp-5955	"10:37 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	native	200	10	13	15	30	1	20	20	outrut	ft
WR	wepp-6034	"10:39 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	native	400	5	13	15	30	1	20	20	outrut	ft
WR	wepp-6054	"10:41 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	native	200	5	26	15	30	1	20	20	outrut	ft
WR	wepp-6120	"10:45 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	graveled	200	5	13	15	30	1	20	20	outrut	ft
WR	wepp-6254	"10:59 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	native	200	5	13	15	30	1	20	20	outrut	ft
WR	wepp-6320	"11:04 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	native	200	5	13	15	30	25	20	20	outrut	ft
WR	wepp-6368	"11:08 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	native	200	5	13	15	30	100	20	20	outrut	ft
WR	wepp-6388	"11:10 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	native	200	5	13	15	30	200	20	20	outrut	ft
WD	wepp-17194	"03:11 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	OldForest	200	20	20	95	20	OldForest	200	20	20	95	20	0	ft	""
WD	wepp-17286	"03:13 pm  Wednesday October 3, 2012"	"../working/67_174_105_146_a"	30	loam	Bunchgrass	200	20	20	90	20	Bunchgrass	200	20	20	90	20	0	ft	""
WD	wepp-17346	"03:14 pm  Wednesday October 3, 2012"	"../working/67_174_105_146_a"	30	loam	Bunchgrass	199	20	20	90	20	Bunchgrass	199	20	20	90	20	0	ft	""
WD	wepp-17386	"03:15 pm  Wednesday October 3, 2012"	"../working/67_174_105_146_a"	30	loam	Bunchgrass	200	20	20.1	90	20	Bunchgrass	200	20	20.1	90	20	0	ft	""
WD	wepp-17424	"03:15 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	Bunchgrass	200	19	20	90	20	Bunchgrass	200	19	20	90	20	0	ft	""
WD	wepp-17611	"03:19 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	Sod	200	19	20	40	20	Sod	200	19	20	40	20	0	ft	""
WD	wepp-17951	"03:28 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	LowFire	200	19	20	70	20	LowFire	200	19	20	70	20	0	ft	""
WD	wepp-18011	"03:29 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	LowFire	200	19	20	20	20	LowFire	200	19	20	20	20	0	ft	""
WD	wepp-18076	"03:30 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	HighFire	200	19	20	20	20	HighFire	200	19	20	20	20	0	ft	""
WD	wepp-18218	"03:37 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	HighFire	200	40	40	20	20	HighFire	200	40	40	20	20	0	ft	""
WD	wepp-18277	"03:39 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	HighFire	200	10	10	20	20	HighFire	200	10	10	20	20	0	ft	""
WD	wepp-18670	"03:54 pm  Wednesday October 3, 2012"	"../working/67_174_105_146_a"	30	loam	HighFire	100	10	10	20	20	HighFire	100	10	10	20	20	0	ft	""
WD	wepp-18691	"03:56 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	HighFire	100	19	20	20	20	HighFire	100	19	20	20	20	0	ft	""
WD	wepp-18777	"04:00 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	silt	HighFire	200	19	20	20	20	HighFire	200	19	20	20	20	0	ft	""
WD	wepp-18798	"04:01 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	clay	HighFire	200	19	20	20	20	HighFire	200	19	20	20	20	0	ft	""
WR	wepp-18954	"04:05 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	native	200	5	13	15	30	1	20	20	outrut	ft
