WR	wepp-13581	"11:39 am  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	native	200	16	13	15	50	130	25	20	inveg	ft
WR	wepp-13600	"11:40 am  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	native	200	16	13	15	50	130	25	20	inveg	ft
WR	wepp-13619	"11:41 am  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	graveled	200	4	13	15	50	130	25	20	inbare	ft
WR	wepp-13738	"11:44 am  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	graveled	200	4	13	15	50	130	25	20	inbare	ft
WR	wepp-13864	"11:47 am  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	graveled	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-13885	"11:48 am  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	graveled	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-13965	"11:50 am  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	graveled	200	16	13	15	50	130	25	20	inbare	ft
WR	wepp-14008	"11:50 am  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	graveled	200	16	13	15	50	130	25	20	inbare	ft
WR	wepp-14048	"11:51 am  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	graveled	200	16	13	15	50	130	25	20	inveg	ft
WR	wepp-14088	"11:51 am  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	graveled	200	16	13	15	50	130	25	20	inveg	ft
WR	wepp-14513	"12:21 pm  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	native	200	4	13	15	50	130	25	20	inbare	ft
WR	wepp-14583	"12:25 pm  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	native	200	4	13	15	50	130	25	20	inbare	ft
WR	wepp-14759	"12:29 pm  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-14786	"12:29 pm  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-14920	"12:31 pm  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-14967	"12:32 pm  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-15062	"12:32 pm  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	native	200	16	13	15	50	130	25	20	inbare	ft
WR	wepp-15089	"12:33 pm  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	native	200	16	13	15	50	130	25	20	inbare	ft
WR	wepp-15110	"12:35 pm  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	native	200	16	13	15	50	130	25	20	inveg	ft
WR	wepp-15132	"12:35 pm  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	native	200	16	13	15	50	130	25	20	inveg	ft
