166.7.101.77	09:00 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	09:05 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	09:06 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	09:06 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	09:06 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	09:07 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	09:07 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	09:07 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	09:08 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
199.158.162.172	10:29 am  Monday January 4, 2010	30	  BIRMINGHAM WB AP AL                   	 LATT=  33.57 LONG= -86.75
199.158.162.172	10:29 am  Monday January 4, 2010	30	  BIRMINGHAM WB AP AL                   	 LATT=  33.57 LONG= -86.75
199.158.162.172	10:51 am  Monday January 4, 2010	30	  BIRMINGHAM WB AP AL                   	 LATT=  33.57 LONG= -86.75
24.18.55.144	12:35 pm  Monday January 4, 2010	30	  GUAM WSMO PI                          	 LATT=  13.55 LONG=-144.83
24.18.55.144	12:35 pm  Monday January 4, 2010	30	  GUAM WSMO PI                          	 LATT=  13.55 LONG=-144.83
24.18.55.144	12:36 pm  Monday January 4, 2010	30	  GUAM WSMO PI                          	 LATT=  13.55 LONG=-144.83
