WR	wepp-150701	"01:25 am  Tuesday December 20, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-221483	"Dec 20, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-223306	"01:03 am  Wednesday December 21, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-233543	"08:48 am  Wednesday December 21, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-77762	"Dec 22, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-112438	"04:22 am  Friday December 23, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-133295	"Dec 23, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-49466	"07:10 am  Friday October 13, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-121993	"05:05 pm  Wednesday November 28, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-152752	"02:27 pm  Thursday November 29, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
