WD	wepp-9025	"08:42 am  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	sand	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WR	wepp-9109	"08:46 am  Wednesday November 18, 2015"	"GUAM WSMO PI"	50	silt	native	100	4	4	5	30	0.3	20	15	outrut	m
WR	wepp-9152	"08:49 am  Wednesday November 18, 2015"	"GUAM WSMO PI"	50	silt	native	100	4	4	5	30	0.3	20	15	outrut	m
WR	wepp-9204	"08:53 am  Wednesday November 18, 2015"	"GUAM WSMO PI"	50	silt	native	100	4	4	5	30	20	15	15	outrut	m
WD	wepp-9567	"09:07 am  Wednesday November 18, 2015"	"RIO PIEDRAS EXP FARM PR"	30	silt	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	ft	""
WD	wepp-9640	"09:09 am  Wednesday November 18, 2015"	"RIO PIEDRAS EXP FARM PR"	30	silt	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WD	wepp-9714	"09:11 am  Wednesday November 18, 2015"	"RIO PIEDRAS EXP FARM PR"	30	silt	Bunchgrass	80	20	20	95	15	Bunchgrass	80	20	20	95	15	0	m	""
WD	wepp-9800	"09:13 am  Wednesday November 18, 2015"	"RIO PIEDRAS EXP FARM PR"	30	silt	Sod	80	20	20	50	15	Sod	80	20	20	50	15	0	m	""
WD	wepp-9883	"09:16 am  Wednesday November 18, 2015"	"RIO PIEDRAS EXP FARM PR"	30	silt	Shrub	80	20	20	80	15	Shrub	80	20	20	80	15	0	m	""
WD	wepp-9925	"09:19 am  Wednesday November 18, 2015"	"RIO PIEDRAS EXP FARM PR"	30	sand	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WR	wepp-9975	"09:21 am  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	native	100	4	4	5	30	0.3	20	15	outrut	m
WR	wepp-10013	"09:21 am  Wednesday November 18, 2015"	"RIO PIEDRAS EXP FARM PR"	30	silt	native	100	4	4	5	30	0.3	20	15	outrut	m
WR	wepp-10076	"09:24 am  Wednesday November 18, 2015"	"RIO PIEDRAS EXP FARM PR"	30	silt	native	100	4	4	5	30	0.3	20	15	outrut	m
WR	wepp-10126	"09:25 am  Wednesday November 18, 2015"	"RIO PIEDRAS EXP FARM PR"	30	silt	native	100	4	4	5	30	20	15	15	outrut	m
WD	wepp-13681	"04:30 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WD	wepp-13850	"04:44 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WD	wepp-13901	"04:48 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	Bunchgrass	80	20	20	60	15	Bunchgrass	80	20	20	60	15	0	m	""
WD	wepp-13938	"04:49 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	Bunchgrass	80	20	20	95	15	Bunchgrass	80	20	20	95	15	0	m	""
WD	wepp-14053	"04:52 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	10	silt	OldForest	80	20	20	100	15	OldForest	80	20	20	100	15	0	m	""
WD	wepp-14091	"04:52 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	10	silt	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WD	wepp-14127	"04:53 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WD	wepp-14184	"04:54 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	Bunchgrass	80	20	20	60	15	Bunchgrass	80	20	20	60	15	0	m	""
WD	wepp-14221	"04:54 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	Bunchgrass	80	20	20	95	15	Bunchgrass	80	20	20	95	15	0	m	""
WD	wepp-14285	"04:56 pm  Wednesday November 18, 2015"	"CANTON ISLAND PI"	30	silt	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	ft	""
WD	wepp-14327	"04:58 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	Sod	80	20	20	50	15	Sod	80	20	20	50	15	0	m	""
