166.6.147.13	"02:49 pm  Friday January 6, 2012"	2	"BEAVER +"	  42.74	 123.37
202.49.165.196	"03:49 pm  Saturday January 7, 2012"	200	"CRESTED BUTTE CO"	  38.87	-106.97
202.49.165.196	"03:50 pm  Saturday January 7, 2012"	200	"CRESTED BUTTE CO"	  38.87	-106.97
202.49.165.196	"03:51 pm  Saturday January 7, 2012"	100	"CRESTED BUTTE CO"	  38.87	-106.97
202.49.165.196	"03:51 pm  Saturday January 7, 2012"	50	"CRESTED BUTTE CO"	  38.87	-106.97
202.49.165.196	"03:55 pm  Saturday January 7, 2012"	50	"CRESTED BUTTE CO"	  38.87	-106.97
202.49.165.196	"03:56 pm  Saturday January 7, 2012"	200	"CRESTED BUTTE CO"	  38.87	-106.97
202.49.165.196	"03:57 pm  Saturday January 7, 2012"	50	"CRESTED BUTTE CO"	  38.87	-106.97
202.49.165.196	"03:58 pm  Saturday January 7, 2012"	50	"CRESTED BUTTE CO"	  38.87	-106.97
202.49.165.196	"04:00 pm  Saturday January 7, 2012"	50	"CRESTED BUTTE CO"	  38.87	-106.97
82.125.125.230	"04:05 pm  Saturday January 7, 2012"	1	"SEELEY LAKE RS MT 22.55 +"	  47.14	 113.60
202.49.165.196	"06:25 pm  Saturday January 7, 2012"	50	"CRESTED BUTTE CO"	  38.87	-106.97
208.80.194.35	"10:48 pm  Saturday January 7, 2012"	1	""		
208.80.194.26	"07:35 am  Monday January 9, 2012"	1	""		
70.89.64.211	"07:42 am  Monday January 9, 2012"	30	"LITTLE ROCK WB AP AR"	  34.73	 -92.23
166.7.46.114	"11:54 am  Monday January 9, 2012"	30	"SEELEY LAKE RS MT 22.55 +"	  47.14	 113.60
166.7.46.114	"11:56 am  Monday January 9, 2012"	30	"SEELEY LAKE RS MT 22.55 +"	  47.14	 113.60
166.7.46.114	"12:04 pm  Monday January 9, 2012"	30	"SEELEY LAKE RS MT 22.55 +"	  47.14	 113.60
166.7.46.114	"12:05 pm  Monday January 9, 2012"	30	"SEELEY LAKE RS MT 22.55 +"	  47.14	 113.60
166.7.46.114	"12:06 pm  Monday January 9, 2012"	30	"SEELEY LAKE RS MT 22.55 +"	  47.14	 113.60
166.7.46.114	"12:44 pm  Monday January 9, 2012"	30	"SEELEY LAKE RS MT 22.55 +"	  47.14	 113.60
64.253.166.252	"04:33 pm  Monday January 9, 2012"	30	"WARREN ID"	  45.27	-115.67
64.253.166.252	"04:34 pm  Monday January 9, 2012"	30	"WARREN ID"	  45.27	-115.67
64.253.166.252	"04:35 pm  Monday January 9, 2012"	30	"WARREN ID"	  45.27	-115.67
64.253.166.252	"04:53 pm  Monday January 9, 2012"	50	"WARREN ID"	  45.27	-115.67
64.253.166.252	"04:53 pm  Monday January 9, 2012"	50	"WARREN ID"	  45.27	-115.67
64.253.166.252	"04:55 pm  Monday January 9, 2012"	5	"WARREN ID"	  45.27	-115.67
64.253.166.252	"04:56 pm  Monday January 9, 2012"	5	"WARREN ID"	  45.27	-115.67
64.253.166.252	"04:56 pm  Monday January 9, 2012"	5	"WARREN ID"	  45.27	-115.67
166.2.86.171	"12:29 pm  Tuesday January 10, 2012"	30	"LOGAN USAC UT"	  41.73	-111.82
64.253.166.252	"12:42 pm  Tuesday January 10, 2012"	3	"WARREN ID"	  45.27	-115.67
64.253.166.252	"12:48 pm  Tuesday January 10, 2012"	3	"WARREN ID"	  45.27	-115.67
166.2.86.171	"12:53 pm  Tuesday January 10, 2012"	30	"LOGAN USAC UT"	  41.73	-111.82
64.253.166.252	"12:56 pm  Tuesday January 10, 2012"	3	"WARREN ID"	  45.27	-115.67
64.253.166.252	"01:04 pm  Tuesday January 10, 2012"	3	"WARREN ID"	  45.27	-115.67
166.2.86.171	"01:17 pm  Tuesday January 10, 2012"	30	"LOGAN USAC UT"	  41.73	-111.82
166.2.86.171	"01:18 pm  Tuesday January 10, 2012"	30	"LOGAN USAC UT"	  41.73	-111.82
166.2.86.171	"01:20 pm  Tuesday January 10, 2012"	30	"LOGAN USAC UT"	  41.73	-111.82
166.2.86.171	"01:21 pm  Tuesday January 10, 2012"	30	"LOGAN USAC UT"	  41.73	-111.82
64.253.166.252	"01:22 pm  Tuesday January 10, 2012"	3	"WARREN ID"	  45.27	-115.67
64.253.166.252	"01:22 pm  Tuesday January 10, 2012"	3	"WARREN ID"	  45.27	-115.67
64.253.166.252	"01:23 pm  Tuesday January 10, 2012"	3	"WARREN ID"	  45.27	-115.67
216.227.91.39	"02:34 pm  Tuesday January 10, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"02:35 pm  Tuesday January 10, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
64.253.166.252	"02:38 pm  Tuesday January 10, 2012"	3	"WARREN ID"	  45.27	-115.67
64.253.166.252	"02:39 pm  Tuesday January 10, 2012"	3	"WARREN ID"	  45.27	-115.67
64.253.166.252	"02:41 pm  Tuesday January 10, 2012"	3	"WARREN ID"	  45.27	-115.67
64.253.166.252	"02:41 pm  Tuesday January 10, 2012"	3	"WARREN ID"	  45.27	-115.67
216.227.91.39	"02:42 pm  Tuesday January 10, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"02:45 pm  Tuesday January 10, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
64.253.166.252	"03:01 pm  Tuesday January 10, 2012"	3	"WARREN ID"	  45.27	-115.67
64.253.166.252	"03:01 pm  Tuesday January 10, 2012"	3	"WARREN ID"	  45.27	-115.67
216.227.91.39	"03:04 pm  Tuesday January 10, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"03:06 pm  Tuesday January 10, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
208.80.194.26	"10:13 pm  Tuesday January 10, 2012"	1	""		
132.180.33.91	"07:22 am  Wednesday January 11, 2012"	30	"SEELEY LAKE RS MT 22.55 +"	  47.14	 113.60
170.144.120.59	"12:24 pm  Wednesday January 11, 2012"	30	"WILLIAMS AZ"	  35.25	-112.18
170.144.120.59	"12:25 pm  Wednesday January 11, 2012"	30	"WILLIAMS AZ"	  35.25	-112.18
170.144.120.59	"12:28 pm  Wednesday January 11, 2012"	30	"WILLIAMS AZ"	  35.25	-112.18
64.253.166.252	"01:50 pm  Wednesday January 11, 2012"	30	"WARREN ID"	  45.27	-115.67
64.253.166.252	"01:53 pm  Wednesday January 11, 2012"	6	"WARREN ID"	  45.27	-115.67
64.253.166.252	"01:55 pm  Wednesday January 11, 2012"	6	"WARREN ID"	  45.27	-115.67
64.253.166.252	"01:56 pm  Wednesday January 11, 2012"	6	"WARREN ID"	  45.27	-115.67
64.253.166.252	"01:56 pm  Wednesday January 11, 2012"	6	"WARREN ID"	  45.27	-115.67
64.253.166.252	"01:57 pm  Wednesday January 11, 2012"	6	"WARREN ID"	  45.27	-115.67
64.253.166.252	"01:58 pm  Wednesday January 11, 2012"	6	"WARREN ID"	  45.27	-115.67
64.253.166.252	"01:59 pm  Wednesday January 11, 2012"	6	"WARREN ID"	  45.27	-115.67
64.253.166.252	"02:30 pm  Wednesday January 11, 2012"	6	"WARREN ID"	  45.27	-115.67
64.253.166.252	"02:31 pm  Wednesday January 11, 2012"	6	"WARREN ID"	  45.27	-115.67
64.253.166.252	"02:32 pm  Wednesday January 11, 2012"	6	"WARREN ID"	  45.27	-115.67
64.253.166.252	"02:32 pm  Wednesday January 11, 2012"	6	"WARREN ID"	  45.27	-115.67
64.253.166.252	"02:33 pm  Wednesday January 11, 2012"	6	"WARREN ID"	  45.27	-115.67
64.253.166.252	"02:34 pm  Wednesday January 11, 2012"	6	"WARREN ID"	  45.27	-115.67
64.253.166.252	"02:35 pm  Wednesday January 11, 2012"	6	"WARREN ID"	  45.27	-115.67
164.64.0.20	"07:49 am  Thursday January 12, 2012"	30	"LAS VEGAS CAA AP NM"	  35.65	-105.15
164.64.0.20	"07:52 am  Thursday January 12, 2012"	30	"LAS VEGAS CAA AP NM"	  35.65	-105.15
216.227.91.39	"07:55 am  Thursday January 12, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"08:01 am  Thursday January 12, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"08:10 am  Thursday January 12, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"08:15 am  Thursday January 12, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"08:19 am  Thursday January 12, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"08:44 am  Thursday January 12, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"08:44 am  Thursday January 12, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
166.7.61.110	"09:04 am  Thursday January 12, 2012"	30	"DEER LODGE 3W MT"	  46.40	-112.80
216.227.91.39	"09:05 am  Thursday January 12, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
166.7.61.110	"09:16 am  Thursday January 12, 2012"	30	"DEER LODGE 3W MT"	  46.40	-112.80
166.7.61.110	"09:17 am  Thursday January 12, 2012"	50	"DEER LODGE 3W MT"	  46.40	-112.80
166.7.61.110	"09:18 am  Thursday January 12, 2012"	50	"DEER LODGE 3W MT"	  46.40	-112.80
166.7.61.110	"09:20 am  Thursday January 12, 2012"	50	"DEER LODGE 3W MT"	  46.40	-112.80
166.7.61.110	"09:22 am  Thursday January 12, 2012"	50	"DEER LODGE 3W MT"	  46.40	-112.80
208.80.194.28	"10:40 am  Thursday January 12, 2012"	1	""		
166.2.86.171	"02:30 pm  Thursday January 12, 2012"	30	"LOGAN USAC UT"	  41.73	-111.82
166.2.86.171	"02:32 pm  Thursday January 12, 2012"	30	"LOGAN USAC UT"	  41.73	-111.82
166.2.86.171	"02:34 pm  Thursday January 12, 2012"	30	"LOGAN USAC UT"	  41.73	-111.82
166.2.86.171	"02:35 pm  Thursday January 12, 2012"	30	"LOGAN USAC UT"	  41.73	-111.82
166.2.86.171	"02:39 pm  Thursday January 12, 2012"	30	"LOGAN USAC UT"	  41.73	-111.82
166.2.86.171	"02:40 pm  Thursday January 12, 2012"	30	"LOGAN USAC UT"	  41.73	-111.82
166.2.86.171	"02:42 pm  Thursday January 12, 2012"	30	"LOGAN USAC UT"	  41.73	-111.82
166.7.51.230	"08:40 am  Friday January 13, 2012"	30	"SEELEY LAKE RS MT 22.55 +"	  47.14	 113.60
166.7.51.230	"08:41 am  Friday January 13, 2012"	30	"SEELEY LAKE RS MT 22.55 +"	  47.14	 113.60
166.7.61.110	"08:59 am  Friday January 13, 2012"	50	"MFK Rock Creek +"	  46.67	-113.15
166.7.61.110	"08:59 am  Friday January 13, 2012"	50	"MFK Rock Creek +"	  46.67	-113.15
166.7.61.110	"09:09 am  Friday January 13, 2012"	50	"MFK Rock Cr +"	  46.67	-113.15
166.7.61.110	"09:11 am  Friday January 13, 2012"	50	"MFK Rock Cr +"	  46.67	-113.15
166.7.61.110	"09:14 am  Friday January 13, 2012"	50	"WFK Ross Cr +"	  46.67	-113.15
166.7.61.110	"09:21 am  Friday January 13, 2012"	50	"WFK Ross Cr +"	  46.67	-113.15
166.2.21.195	"12:54 pm  Friday January 13, 2012"	30	"SEELEY LAKE RS MT 22.55 +"	  47.14	 113.60
166.2.21.195	"01:20 pm  Friday January 13, 2012"	30	"GOLD BEACH RS OR"	  42.40	-124.42
166.2.21.195	"02:08 pm  Friday January 13, 2012"	50	"GOLD BEACH RS OR"	  42.40	-124.42
64.253.166.252	"02:23 pm  Friday January 13, 2012"	6	"WARREN ID"	  45.27	-115.67
64.253.166.252	"02:25 pm  Friday January 13, 2012"	6	"WARREN ID"	  45.27	-115.67
64.253.166.252	"02:25 pm  Friday January 13, 2012"	6	"WARREN ID"	  45.27	-115.67
64.253.166.252	"02:26 pm  Friday January 13, 2012"	6	"WARREN ID"	  45.27	-115.67
64.253.166.252	"02:28 pm  Friday January 13, 2012"	6	"WARREN ID"	  45.27	-115.67
64.253.166.252	"02:30 pm  Friday January 13, 2012"	6	"WARREN ID"	  45.27	-115.67
64.253.166.252	"02:31 pm  Friday January 13, 2012"	6	"WARREN ID"	  45.27	-115.67
216.227.91.39	"02:35 pm  Friday January 13, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"02:37 pm  Friday January 13, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"02:37 pm  Friday January 13, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"02:48 pm  Friday January 13, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"03:06 pm  Friday January 13, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"03:08 pm  Friday January 13, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"03:13 pm  Friday January 13, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
64.253.166.252	"03:15 pm  Friday January 13, 2012"	6	"WARREN ID"	  45.27	-115.67
64.253.166.252	"03:15 pm  Friday January 13, 2012"	30	"WARREN ID"	  45.27	-115.67
216.227.91.39	"03:16 pm  Friday January 13, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"03:48 pm  Friday January 13, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"03:51 pm  Friday January 13, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"03:53 pm  Friday January 13, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
208.80.194.29	"03:57 pm  Friday January 13, 2012"	1	""		
216.227.91.39	"04:00 pm  Friday January 13, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
64.253.166.252	"04:44 pm  Friday January 13, 2012"	30	"WARREN ID"	  45.27	-115.67
64.253.166.252	"05:02 pm  Friday January 13, 2012"	6	"WARREN ID"	  45.27	-115.67
208.80.194.27	"01:43 am  Sunday January 15, 2012"	1	""		
208.80.194.59	"03:44 pm  Monday January 16, 2012"	1	""		
67.169.208.189	"07:16 am  Tuesday January 17, 2012"	30	"CORVALLIS ST COL OR"	  44.57	-123.28
67.169.208.189	"07:17 am  Tuesday January 17, 2012"	30	"CORVALLIS ST COL OR"	  44.57	-123.28
166.7.61.110	"08:03 am  Tuesday January 17, 2012"	50	"Galena Gulch +"	  46.40	-112.80
166.7.61.110	"08:03 am  Tuesday January 17, 2012"	50	"Galena Gulch +"	  46.40	-112.80
166.7.61.110	"08:04 am  Tuesday January 17, 2012"	50	"Galena Gulch +"	  46.40	-112.80
