WR	wepp-204748	"04:12 pm  Monday June 2, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-46268	"05:59 pm  Wednesday June 4, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-73342	"Jun 6, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-73357	"04:51 am  Friday June 6, 2014"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-160520	"00:48 am  Tuesday June 10, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-190210	"Jun 11, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-201582	"09:42 am  Thursday June 12, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-227301	"02:39 am  Saturday June 14, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-40952	"Jun 16, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-72352	"07:49 am  Wednesday June 18, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-95241	"07:39 pm  Thursday June 19, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-124615	"11:34 pm  Saturday June 21, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-146826	"Jun 22, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-207925	"03:34 pm  Wednesday June 25, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-5892	"03:34 am  Friday June 27, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-25064	"Jun 28, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-34395	"07:36 am  Sunday June 29, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-95473	"Jul 3, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-95476	"07:38 pm  Thursday July 3, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-104493	"03:35 pm  Friday July 4, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-119478	"07:33 pm  Tuesday July 8, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-239987	"Jul 9, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-40665	"03:34 am  Saturday July 12, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-60736	"11:34 am  Sunday July 13, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-81783	"Jul 14, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-147723	"07:35 am  Friday July 18, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-178667	"03:33 pm  Saturday July 19, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-184832	"Jul 20, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-195724	"07:33 pm  Sunday July 20, 2014"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-38227	"07:39 pm  Saturday July 26, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-38241	"Jul 26, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-44688	"07:47 am  Sunday July 27, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-49440	"03:46 am  Thursday July 31, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-79766	"Aug 1, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-182547	"11:49 am  Sunday August 3, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-5974	"Aug 4, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-7109	"03:17 pm  Monday August 4, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-105392	"Aug 8, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-132490	"03:47 am  Saturday August 9, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-162478	"11:51 pm  Sunday August 10, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-176135	"Aug 11, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-56555	"03:54 pm  Wednesday August 13, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-16386	"Aug 15, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-127513	"03:43 am  Monday August 18, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-157751	"Aug 18, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-157770	"07:54 pm  Monday August 18, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-26777	"Aug 22, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-53289	"07:43 pm  Friday August 22, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-118354	"Aug 25, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-139651	"07:57 am  Tuesday August 26, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-184011	"12:07 pm  Wednesday August 27, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-61997	"Aug 29, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-130184	"Sep 1, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-130197	"08:45 pm  Monday September 1, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-165382	"03:44 am  Wednesday September 3, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-60055	"Sep 5, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-210531	"03:44 am  Sunday September 7, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-68528	"Sep 8, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-62972	"07:53 pm  Wednesday September 10, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-30331	"Sep 12, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-30352	"11:39 am  Friday September 12, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-32322	"Sep 17, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-32326	"07:53 pm  Wednesday September 17, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-41497	"11:39 am  Thursday September 18, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-82291	"Sep 21, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-111843	"03:47 am  Tuesday September 23, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-40895	"Sep 24, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-12225	"Sep 28, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-26589	"07:41 pm  Sunday September 28, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-114206	"Oct 7, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-117015	"06:53 am  Tuesday October 7, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-117023	"06:53 am  Tuesday October 7, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-165323	"Oct 10, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-58526	"11:45 pm  Sunday October 12, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-16860	"03:48 pm  Tuesday October 14, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-60851	"Oct 15, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-138203	"07:52 am  Saturday October 18, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-98555	"Oct 21, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-225187	"03:37 am  Wednesday October 22, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-62000	"03:36 am  Friday October 24, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-145599	"Oct 27, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-229768	"11:51 pm  Wednesday October 29, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-229776	"11:53 pm  Wednesday October 29, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-46341	"Nov 2, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-106787	"06:45 pm  Tuesday November 4, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-179733	"06:43 pm  Thursday November 6, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-51723	"Nov 7, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-188060	"02:40 am  Monday November 10, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-74290	"Nov 12, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-144426	"02:48 pm  Friday November 14, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-226954	"10:36 pm  Saturday November 15, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-148245	"Nov 18, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-75293	"10:46 pm  Friday November 21, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-85694	"10:48 am  Saturday November 22, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-132557	"Nov 24, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-224280	"10:40 am  Wednesday November 26, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-96314	"Nov 29, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-96339	"02:49 pm  Saturday November 29, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-115764	"06:42 am  Sunday November 30, 2014"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-102233	"06:45 am  Thursday December 4, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-134430	"Dec 4, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-38595	"10:37 pm  Saturday December 6, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-80906	"06:48 am  Monday December 8, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-157441	"Dec 10, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-26852	"10:42 am  Friday December 12, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-103256	"10:36 am  Sunday December 14, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-147605	"Dec 15, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-19151	"10:42 am  Tuesday December 16, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-233650	"Dec 21, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-233657	"06:41 am  Sunday December 21, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-35478	"10:42 pm  Sunday December 21, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-48339	"10:52 pm  Thursday December 25, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-72059	"Dec 26, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-140938	"02:44 am  Monday December 29, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-203684	"02:37 pm  Tuesday December 30, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-237195	"Dec 31, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-68302	"06:41 am  Sunday January 4, 2015"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-108231	"02:43 pm  Monday January 5, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-129679	"Jan 6, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-230861	"02:39 am  Friday January 9, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-93437	"Jan 11, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-132198	"06:51 am  Tuesday January 13, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-188178	"10:45 pm  Tuesday January 13, 2015"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-89656	"08:08 pm  Friday January 16, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-138191	"Jan 17, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-30996	"02:43 pm  Monday January 19, 2015"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-79264	"02:36 am  Wednesday January 21, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-143786	"08:54 pm  Thursday January 22, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-144010	"Jan 22, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-224398	"06:48 pm  Sunday January 25, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-90743	"Jan 28, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-90773	"06:41 pm  Wednesday January 28, 2015"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-90785	"06:41 pm  Wednesday January 28, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-230943	"06:50 pm  Saturday January 31, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-67655	"Feb 3, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-67792	"02:54 pm  Tuesday February 3, 2015"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-150934	"02:40 am  Thursday February 5, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-884	"02:36 pm  Friday February 6, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-114500	"Feb 9, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-114516	"06:50 am  Monday February 9, 2015"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-240161	"06:37 am  Thursday February 12, 2015"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-59284	"10:35 pm  Thursday February 12, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-129842	"Feb 14, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-175371	"02:48 pm  Sunday February 15, 2015"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-79407	"06:35 am  Thursday February 19, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-147534	"Feb 20, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-148084	"02:02 pm  Friday February 20, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-232139	"06:40 pm  Sunday February 22, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-113311	"Feb 25, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-143586	"02:34 pm  Thursday February 26, 2015"	""	1			0	0	0	0	0	0	0	0		
