WD	wepp-145458	"01:40 pm  Sunday February 12, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-156379	"10:18 am  Monday February 13, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-164677	"02:46 am  Tuesday February 14, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-165467	"05:05 am  Tuesday February 14, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-162626	"02:48 pm  Monday February 20, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-179183	"05:28 am  Wednesday February 22, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-850	"02:05 pm  Thursday February 23, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-1789	"02:54 pm  Thursday February 23, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-16840	"08:33 pm  Friday February 24, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-17115	"09:12 pm  Friday February 24, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-29132	"09:00 pm  Saturday February 25, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-36793	"05:52 pm  Sunday February 26, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-154877	"11:25 am  Thursday March 2, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-212193	"06:55 pm  Monday March 6, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-122833	"05:49 pm  Tuesday March 7, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-191492	"06:15 am  Wednesday March 8, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-21343	"01:50 pm  Thursday March 9, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-58737	"11:59 pm  Sunday March 12, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-90429	"09:44 pm  Tuesday March 14, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-137055	"04:46 am  Thursday March 16, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-158961	"05:23 pm  Friday March 17, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-173003	"04:14 pm  Sunday March 19, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-224613	"04:04 pm  Wednesday March 22, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-239691	"01:28 pm  Thursday March 23, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-22973	"04:05 am  Sunday March 26, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-51579	"05:36 pm  Monday March 27, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-79717	"05:33 pm  Tuesday March 28, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-91756	"09:00 am  Wednesday March 29, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
