wt	wepp-28066	"Jul 17, 2013"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-4303	"05:32 am  Friday July 19, 2013"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-21178	"01:13 am  Saturday July 20, 2013"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-21258	"01:24 am  Saturday July 20, 2013"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-21606	"02:08 am  Saturday July 20, 2013"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-21846	"02:41 am  Saturday July 20, 2013"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-27427	"11:54 pm  Sunday July 21, 2013"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-31501	"08:08 am  Monday July 22, 2013"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-22843	"08:37 pm  Wednesday July 24, 2013"	""				0	0	0	0	0		0	0	0	0	0	0		""
