WD	wepp-9981	"09:58 am  Tuesday September 10, 2013"	"beaver creek +"	10	sand	OldForest	580	62	62	100	20	OldForest	300	62	20	100	20	0	ft	"10"
WD	wepp-9995	"09:58 am  Tuesday September 10, 2013"	"beaver creek +"	10	sand	OldForest	640	20	43	100	20	OldForest	350	43	19	100	20	0	ft	"40"
WD	wepp-10012	"09:58 am  Tuesday September 10, 2013"	"beaver creek +"	10	sand	OldForest	900	23	23	100	20	OldForest	300	35	20	100	20	0	ft	"39"
WD	wepp-10132	"10:05 am  Tuesday September 10, 2013"	"beaver creek +"	10	sand	YoungForest	550	20	42	95	20	OldForest	760	55	12	100	20	0	ft	"70"
WD	wepp-10146	"10:05 am  Tuesday September 10, 2013"	"beaver creek +"	10	sand	YoungForest	580	62	62	95	20	OldForest	300	62	20	100	20	0	ft	"10"
WD	wepp-10153	"10:05 am  Tuesday September 10, 2013"	"beaver creek +"	10	sand	YoungForest	640	20	43	95	20	OldForest	350	43	19	100	20	0	ft	"40"
WD	wepp-10160	"10:05 am  Tuesday September 10, 2013"	"beaver creek +"	10	sand	YoungForest	900	23	23	95	20	OldForest	300	35	20	100	20	0	ft	"39"
WD	wepp-28241	"01:59 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	580	62	62	100	20	OldForest	300	83	32	100	20	0	ft	"10"
WD	wepp-28260	"01:59 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	820	39	39	100	20	OldForest	395	51	51	100	20	0	ft	"40"
WD	wepp-28298	"02:00 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	1200	23	23	100	20	OldForest	740	32	32	100	20	0	ft	"39"
WD	wepp-28319	"02:00 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	730	55	55	100	20	OldForest	300	80	80	100	20	0	ft	"55"
WD	wepp-28339	"02:00 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	1500	64	64	100	20	OldForest	300	87	87	100	20	0	ft	"6"
WD	wepp-28359	"02:00 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	1100	21	31	100	20	OldForest	300	17	17	100	20	0	ft	"17"
WD	wepp-28379	"02:00 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	750	53	53	100	20	OldForest	580	48	24	100	20	0	ft	"27"
WD	wepp-28399	"02:00 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	720	56	56	100	20	OldForest	300	40	40	100	20	0	ft	"24"
WD	wepp-28419	"02:00 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	950	46	46	100	20	OldForest	300	33	33	100	20	0	ft	"42"
WD	wepp-28439	"02:00 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	1720	40	31	100	20	OldForest	300	33	33	100	20	0	ft	"66 (and others)"
WD	wepp-28459	"02:00 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	1250	34	44	100	20	OldForest	300	80	80	100	20	0	ft	"61"
WD	wepp-28479	"02:00 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	1900	40	42	100	20	OldForest	275	29	29	100	20	0	ft	"69"
WD	wepp-28499	"02:00 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	1700	27	46	100	20	OldForest	300	8	8	100	20	0	ft	"F15"
WD	wepp-28519	"02:00 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	820	24	49	100	20	OldForest	300	67	67	100	20	0	ft	"F14"
WD	wepp-28539	"02:01 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	2500	37	37	100	20	OldForest	300	10	10	100	20	0	ft	"F11"
WD	wepp-28559	"02:01 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	1270	57	57	100	20	OldForest	570	42	42	100	20	0	ft	"F10"
WD	wepp-28578	"02:01 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	1380	29	62	100	20	OldForest	300	67	67	100	20	0	ft	"F8"
WD	wepp-28862	"02:14 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	580	62	62	90	20	OldForest	300	83	32	100	20	0	ft	"10"
WD	wepp-28882	"02:14 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	820	39	39	90	20	OldForest	395	51	51	100	20	0	ft	"40"
WD	wepp-28889	"02:14 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	1200	23	23	90	20	OldForest	740	32	32	100	20	0	ft	"39"
WD	wepp-28896	"02:14 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	730	55	55	90	20	OldForest	300	80	80	100	20	0	ft	"55"
WD	wepp-28903	"02:14 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	1500	64	64	90	20	OldForest	300	87	87	100	20	0	ft	"6"
WD	wepp-28910	"02:14 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	1100	21	31	90	20	OldForest	300	17	17	100	20	0	ft	"17"
WD	wepp-28917	"02:14 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	750	53	53	90	20	OldForest	580	48	24	100	20	0	ft	"27"
WD	wepp-28924	"02:14 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	720	56	56	90	20	OldForest	300	40	40	100	20	0	ft	"24"
WD	wepp-28931	"02:14 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	950	46	46	90	20	OldForest	300	33	33	100	20	0	ft	"42"
WD	wepp-28938	"02:14 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	1720	40	31	90	20	OldForest	300	33	33	100	20	0	ft	"66 (and others)"
WD	wepp-28945	"02:14 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	1250	34	44	90	20	OldForest	300	80	80	100	20	0	ft	"61"
