WR	wepp-20245	"01:25 pm  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	native	250	2	20	20	50	130	25	20	inbare	ft
WR	wepp-20324	"01:27 pm  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	native	80	10	20	20	50	130	25	20	inbare	ft
WR	wepp-20345	"01:28 pm  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	native	60	15	20	20	50	130	25	20	inbare	ft
WR	wepp-20480	"01:42 pm  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	native	60	15	20	20	50	130	25	20	inveg	ft
WR	wepp-20499	"01:44 pm  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	native	250	2	20	20	50	130	25	20	inveg	ft
WR	wepp-20565	"01:46 pm  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	native	80	10	20	20	50	130	25	20	inveg	ft
WR	wepp-20692	"02:00 pm  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	graveled	80	10	20	20	50	130	25	20	inveg	ft
WR	wepp-20739	"02:01 pm  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	graveled	250	2	20	20	50	130	25	20	inveg	ft
WR	wepp-20758	"02:01 pm  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	graveled	60	15	20	20	50	130	25	20	inveg	ft
WR	wepp-21354	"03:02 pm  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	native	80	10	20	20	50	130	25	20	inveg	ft
WR	wepp-21659	"03:39 pm  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	native	180	15	20	20	50	130	25	20	inveg	ft
WR	wepp-21711	"03:42 pm  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	clay	native	100	2	20	20	50	130	25	20	inveg	ft
WR	wepp-21752	"03:44 pm  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	clay	native	60	2	20	20	50	130	25	20	inveg	ft
WR	wepp-30234	"07:19 am  Thursday March 29, 2012"	"LUFKIN CAA AP TX"	30	silt	graveled	200	4	20	20	50	130	25	20	inbare	ft
WR	wepp-30255	"07:20 am  Thursday March 29, 2012"	"LUFKIN CAA AP TX"	30	silt	graveled	250	2	20	20	50	130	25	20	inbare	ft
WR	wepp-109877	"08:50 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	native	800	7.5	18	20	50	130	25	20	inbare	ft
WR	wepp-109977	"08:51 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	native	1000	3.8	18	20	50	130	25	20	inbare	ft
WR	wepp-110034	"08:51 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	native	1000	6	18	20	50	130	25	20	inbare	ft
WR	wepp-110091	"08:51 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	native	1000	6	18	20	50	130	25	20	inveg	ft
WR	wepp-110168	"08:52 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	native	800	8.8	18	20	50	130	25	20	inbare	ft
WR	wepp-110220	"08:52 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	native	800	8.8	18	20	50	130	25	20	inveg	ft
WR	wepp-110358	"08:54 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	native	1000	4	18	20	50	130	25	20	inbare	ft
WR	wepp-110453	"08:54 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	native	1000	4	18	20	50	130	25	20	inveg	ft
WR	wepp-110571	"08:55 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	native	575	3.5	18	20	50	130	25	20	inbare	ft
WR	wepp-110620	"08:56 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	native	575	3.5	18	20	50	130	25	20	inveg	ft
WR	wepp-111439	"09:13 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	graveled	800	7.5	18	20	50	130	25	20	inveg	ft
WR	wepp-111511	"09:13 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	graveled	575	7	18	20	50	130	25	20	inbare	ft
WR	wepp-111568	"09:14 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	graveled	400	7.5	18	20	50	130	25	20	inbare	ft
WR	wepp-111640	"09:14 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	native	900	3.3	18	20	50	130	25	20	inveg	ft
WR	wepp-111698	"09:15 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	graveled	900	3.3	18	20	50	130	25	20	inveg	ft
WR	wepp-111748	"09:15 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	graveled	400	2.6	18	20	50	130	25	20	inbare	ft
WR	wepp-111948	"09:18 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	graveled	1000	4	18	20	50	130	25	20	inbare	ft
WR	wepp-111994	"09:18 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	graveled	1000	4	18	20	50	130	25	20	inveg	ft
WR	wepp-112051	"09:18 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	graveled	800	8.8	18	20	50	130	25	20	inveg	ft
WR	wepp-112148	"09:20 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	native	1000	4	18	20	50	130	25	20	inveg	ft
WR	wepp-112205	"09:21 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	graveled	1000	6	18	20	50	130	25	20	inveg	ft
WR	wepp-112251	"09:21 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	graveled	800	8.8	18	20	50	130	25	20	inbare	ft
WR	wepp-112958	"09:39 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	native	400	7.5	18	20	50	130	25	20	inbare	ft
WR	wepp-113019	"09:39 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	native	775	2.6	18	20	50	130	25	20	inbare	ft
WR	wepp-113100	"09:40 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	native	900	3.3	18	20	50	130	25	20	inveg	ft
WR	wepp-113149	"09:41 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	graveled	400	7.5	18	20	50	130	25	20	inbare	ft
WR	wepp-113815	"09:48 am  Tuesday April 28, 2015"	"PALESTINE WB CITY TX"	30	silt	graveled	800	7.5	18	20	50	130	25	20	inveg	ft
WR	wepp-7487	"09:26 am  Wednesday November 11, 2015"	"PALESTINE WB CITY TX"	30	silt	native	200	4	18	20	50	130	25	20	inveg	ft
WR	wepp-7772	"09:29 am  Wednesday November 11, 2015"	"PALESTINE WB CITY TX"	30	silt	native	100	4	18	20	50	130	25	20	inveg	ft
WR	wepp-8786	"09:40 am  Wednesday November 11, 2015"	"PALESTINE WB CITY TX"	30	silt	native	100	4	18	20	50	130	25	20	inbare	ft
WR	wepp-8844	"09:40 am  Wednesday November 11, 2015"	"PALESTINE WB CITY TX"	30	silt	native	100	5	18	20	50	130	25	20	inbare	ft
WR	wepp-8978	"09:42 am  Wednesday November 11, 2015"	"PALESTINE WB CITY TX"	30	silt	native	70	3	18	20	50	130	25	20	inbare	ft
WR	wepp-9062	"09:44 am  Wednesday November 11, 2015"	"PALESTINE WB CITY TX"	30	silt	native	70	3	18	20	50	130	25	20	inveg	ft
WR	wepp-9843	"09:53 am  Wednesday November 11, 2015"	"PALESTINE WB CITY TX"	30	silt	native	100	3	18	20	50	130	25	20	inveg	ft
WR	wepp-10356	"10:10 am  Wednesday November 11, 2015"	"PALESTINE WB CITY TX"	30	silt	native	1000	3	18	20	50	130	25	20	inveg	ft
WR	wepp-10396	"10:10 am  Wednesday November 11, 2015"	"PALESTINE WB CITY TX"	30	silt	native	800	4	18	20	50	130	25	20	inveg	ft
WR	wepp-10460	"10:12 am  Wednesday November 11, 2015"	"PALESTINE WB CITY TX"	30	silt	native	800	6	18	20	50	130	25	20	inveg	ft
WR	wepp-10498	"10:12 am  Wednesday November 11, 2015"	"PALESTINE WB CITY TX"	30	silt	native	800	3	18	20	50	130	25	20	inveg	ft
WR	wepp-10577	"10:14 am  Wednesday November 11, 2015"	"PALESTINE WB CITY TX"	30	silt	native	800	3	18	20	50	130	25	20	inbare	ft
