WR	wepp-99815	"02:49 am  Saturday December 31, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-114690	"Jan 2, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-142620	"12:05 pm  Thursday January 5, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-147623	"Jan 5, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-181663	"Jan 9, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-229491	"02:54 am  Wednesday January 11, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-49917	"Jan 13, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-52118	"10:47 am  Friday January 13, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-98981	"12:20 pm  Monday January 16, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-114614	"Jan 17, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-218256	"Jan 20, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-227061	"11:56 pm  Saturday January 21, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-7211	"Jan 24, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-63738	"03:00 pm  Friday January 27, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-63787	"03:02 pm  Friday January 27, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-79602	"Jan 29, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-131943	"00:24 am  Tuesday January 31, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-233084	"Feb 2, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-28264	"08:58 am  Friday February 3, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-89067	"07:25 pm  Monday February 6, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-105814	"Feb 8, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-129041	"08:25 am  Friday February 10, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-137982	"08:59 am  Saturday February 11, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-150749	"Feb 13, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-159783	"05:46 pm  Monday February 13, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-29824	"02:46 am  Friday February 17, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-110114	"Feb 17, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-162140	"01:11 pm  Monday February 20, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-229117	"Feb 22, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-5455	"11:56 pm  Thursday February 23, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-39445	"03:33 am  Monday February 27, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-52856	"Feb 28, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-91765	"07:19 am  Wednesday March 1, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-196719	"Mar 5, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-208539	"12:14 pm  Monday March 6, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-24930	"08:37 pm  Thursday March 9, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-38562	"Mar 11, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-70997	"05:06 pm  Monday March 13, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-136969	"Mar 16, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-159768	"08:03 pm  Friday March 17, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
