216.227.119.89	"10:29 am  Thursday January 3, 2013"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.119.89	"10:45 am  Thursday January 3, 2013"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.119.89	"10:49 am  Thursday January 3, 2013"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.119.89	"01:44 pm  Thursday January 3, 2013"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.119.89	"01:45 pm  Thursday January 3, 2013"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
82.248.116.23	"06:05 am  Friday January 4, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
90.96.53.93	"08:31 am  Friday January 4, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
90.96.53.93	"08:32 am  Friday January 4, 2013"	1	"DENVER WB AP CO"	  39.77	-104.88
90.96.53.93	"08:33 am  Friday January 4, 2013"	2	"DENVER WB AP CO"	  39.77	-104.88
90.96.53.93	"08:33 am  Friday January 4, 2013"	10	"DENVER WB AP CO"	  39.77	-104.88
90.96.53.93	"08:34 am  Friday January 4, 2013"	10	"DENVER WB AP CO"	  39.77	-104.88
90.96.53.93	"08:36 am  Friday January 4, 2013"	10	"DENVER WB AP CO"	  39.77	-104.88
90.96.53.93	"08:36 am  Friday January 4, 2013"	10	"DENVER WB AP CO"	  39.77	-104.88
90.96.53.93	"08:36 am  Friday January 4, 2013"	10	"DENVER WB AP CO"	  39.77	-104.88
90.96.53.93	"08:37 am  Friday January 4, 2013"	10	"DENVER WB AP CO"	  39.77	-104.88
90.96.53.93	"08:40 am  Friday January 4, 2013"	10	"DENVER WB AP CO"	  39.77	-104.88
90.96.53.93	"08:40 am  Friday January 4, 2013"	10	"DENVER WB AP CO"	  39.77	-104.88
90.96.53.93	"08:40 am  Friday January 4, 2013"	10	"DENVER WB AP CO"	  39.77	-104.88
90.96.53.93	"08:41 am  Friday January 4, 2013"	10	"DENVER WB AP CO"	  39.77	-104.88
90.96.53.93	"08:41 am  Friday January 4, 2013"	10	"DENVER WB AP CO"	  39.77	-104.88
157.55.32.103	"09:21 am  Friday January 4, 2013"	1	""		
157.55.32.103	"10:06 am  Friday January 4, 2013"	1	""		
94.242.237.5	"05:59 pm  Friday January 4, 2013"	1	""		
83.159.74.124	"12:03 pm  Saturday January 5, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
83.159.74.124	"12:06 pm  Saturday January 5, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
83.159.74.124	"12:09 pm  Saturday January 5, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
83.159.74.124	"12:10 pm  Saturday January 5, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
83.159.74.124	"12:12 pm  Saturday January 5, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
83.159.74.124	"12:13 pm  Saturday January 5, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
83.159.74.124	"12:14 pm  Saturday January 5, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
78.229.190.207	"05:12 am  Sunday January 6, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
82.254.4.201	"10:46 am  Sunday January 6, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
220.163.84.243	"00:30 am  Monday January 7, 2013"	30	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
193.48.130.13	"00:52 am  Monday January 7, 2013"	10	"DENVER WB AP CO"	  39.77	-104.88
69.144.241.90	"07:13 am  Monday January 7, 2013"	50	"TROUT CREEK RS MT_Jan7 +"	  47.87	-115.62
69.144.241.90	"07:14 am  Monday January 7, 2013"	50	"TROUT CREEK RS MT_Jan7 +"	  47.87	-115.62
