74.85.205.50	"08:47 am  Tuesday March 6, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.5.81.79	"10:49 am  Tuesday March 13, 2018"	"Alder Springs CA (EAST) + + +"	  39.83	-122.75
166.5.81.79	"10:50 am  Tuesday March 13, 2018"	"Alder Springs CA (EAST) + + +"	  39.83	-122.75
166.5.81.79	"10:52 am  Tuesday March 13, 2018"	"Alder Springs CA (EAST) + + +"	  39.83	-122.75
74.38.127.28	"10:59 am  Friday March 23, 2018"	"LIBBY PIPE BOBTAIL +"	  48.48	 115.53
166.6.141.164	"01:16 pm  Wednesday March 28, 2018"	"MOSCOW U OF I ID"	  46.73	-117.00
199.131.221.207	"08:24 am  Monday April 9, 2018"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
166.2.22.225	"02:14 pm  Thursday April 12, 2018"	"MOSCOW U OF I ID"	  46.73	-117.00
166.2.29.188	"08:18 am  Wednesday May 9, 2018"	"SMWSJesseCrk +"	  45.18	-113.90
166.2.29.188	"12:30 pm  Friday May 11, 2018"	"SMWSJesseCrk +"	  45.18	-113.90
166.2.29.188	"12:36 pm  Friday May 11, 2018"	"SMWSJesseCrk +"	  45.18	-113.90
50.37.246.48	"09:03 am  Thursday June 7, 2018"	"SAINT MARIES ID"	  47.32	-116.57
204.47.171.99	"06:11 am  Wednesday June 13, 2018"	"CORVALLIS ST COL OR"	  44.57	-123.28
71.196.196.71	"01:58 am  Friday June 15, 2018"	"cochetopa pass +"	  37.43	-105.85
71.196.196.71	"02:02 am  Friday June 15, 2018"	"CHARLESTON KAN AP WV"	  38.37	 -81.60
71.196.196.71	"02:33 am  Friday June 15, 2018"	"cochetopa pass +"	  37.43	-105.85
71.196.196.71	"05:43 am  Friday June 15, 2018"	"LAKE GEORGE CO + +"	  39.00	-105.88
71.196.196.71	"05:44 am  Friday June 15, 2018"	"LAKE GEORGE CO + +"	  39.00	-105.88
71.196.196.71	"05:45 am  Friday June 15, 2018"	"LAKE GEORGE CO + +"	  39.00	-105.88
158.68.66.254	"07:38 am  Friday June 29, 2018"	"CORVALLIS ST COL OR"	  44.57	-123.28
170.144.235.171	"11:01 am  Monday July 9, 2018"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
164.73.53.176	"06:44 am  Monday July 23, 2018"	"Cranbourne  AU + +"	 -38.11	-145.27
164.73.53.176	"06:44 am  Monday July 23, 2018"	"Cranbourne  AU + +"	 -38.11	-145.27
73.14.254.36	"09:41 am  Friday August 3, 2018"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
129.82.53.180	"12:49 pm  Tuesday August 7, 2018"	"DENVER WB AP CO"	  39.77	-104.88
166.7.135.168	"12:07 pm  Monday August 20, 2018"	"CABINET GORGE ID + +"	  48.32	 116.11
166.2.69.204	"06:56 am  Tuesday August 21, 2018"	"Cove Creek-Cove Fort +"	  38.58	 112.56
174.31.145.120	"08:58 am  Wednesday August 22, 2018"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
166.5.118.189	"02:08 pm  Tuesday September 18, 2018"	"TAHOE CA"	  39.17	-120.15
166.216.158.100	"02:08 pm  Tuesday September 18, 2018"	"TAHOE CA"	  39.17	-120.15
166.3.118.212	"02:08 pm  Tuesday September 18, 2018"	"TAHOE CA"	  39.17	-120.15
166.216.158.100	"02:13 pm  Tuesday September 18, 2018"	"TAHOE CA"	  39.17	-120.15
158.68.66.254	"10:28 am  Tuesday October 2, 2018"	"Boulder TS 2018 +"	  45.17	 116.33
150.145.39.253	"05:54 am  Tuesday October 9, 2018"	"Tempio ITALY +"	  41.22	   9.60
197.156.97.81	"07:43 am  Friday October 12, 2018"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
166.2.22.188	"11:38 am  Wednesday October 24, 2018"	"FENN RS ID"	  46.10	-115.55
166.2.22.188	"11:42 am  Wednesday October 24, 2018"	"FENN RS ID"	  46.10	-115.55
166.2.22.188	"11:42 am  Wednesday October 24, 2018"	"FENN RS ID"	  46.10	-115.55
166.2.22.188	"11:43 am  Wednesday October 24, 2018"	"FENN RS ID"	  46.10	-115.55
166.2.22.188	"11:44 am  Wednesday October 24, 2018"	"FENN RS ID"	  46.10	-115.55
166.2.22.188	"11:45 am  Wednesday October 24, 2018"	"FENN RS ID"	  46.10	-115.55
166.2.22.188	"11:45 am  Wednesday October 24, 2018"	"FENN RS ID"	  46.10	-115.55
166.3.6.187	"09:30 am  Monday October 29, 2018"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
166.3.6.187	"09:34 am  Monday October 29, 2018"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
166.3.6.187	"09:34 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"09:40 am  Monday October 29, 2018"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
166.3.6.187	"09:43 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"09:45 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"09:47 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"09:48 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"09:50 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"09:52 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"09:55 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"09:56 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"09:57 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"09:59 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"10:00 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
