IP	Date and time	hills	version	climate	lat	long
166.7.101.116	"11:13 am  Friday March 9, 2018"	603		"BRANDERBERG MT_mod2 +"	45.46	105.99
166.2.22.221    "03:12 pm  Friday March 9, 2018"        1       2017.02.03      "*_SANDPOINT_EXP_STA_ID"
166.2.22.221	"02:55 pm  Tuesday March 13, 2018"	1	2017.01.16	"my_location"
166.2.22.221	"03:12 pm  Tuesday March 13, 2018"	1	2017.01.16	"Denver_stnadard"
166.2.22.221	"03:18 pm  Tuesday March 13, 2018"	1	2017.01.16	"Flagstaff_standard"
166.2.22.221	"03:47 pm  Tuesday March 13, 2018"	2	2018	"Flagstaff_standard"
75.170.16.127	"09:38 pm  Friday March 23, 2018"	1	2017.01.16	"my_location"
75.170.16.127	"09:43 pm  Friday March 23, 2018"	10	2017.01.16	"my_location"
170.170.59.139	"12:28 pm  Monday March 26, 2018"	10	2017.01.16	"my_location"
170.170.59.139	"12:29 pm  Monday March 26, 2018"	10	2017.01.16	"my_location"
166.7.77.187	"07:38 am  Wednesday March 28, 2018"	20	2017.01.16	"Buffalo_Gulch"
166.7.77.187	"07:39 am  Wednesday March 28, 2018"	20	2017.01.16	"Buffalo_Gulch"
166.7.77.187	"07:42 am  Wednesday March 28, 2018"	20	2017.01.16	"Jefferson_Creek"
166.7.77.187	"07:43 am  Wednesday March 28, 2018"	20	2017.01.16	"Jefferson_Creek"
166.7.77.187	"07:46 am  Wednesday March 28, 2018"	36	2017.01.16	"Willow_Creek"
166.7.77.187	"07:47 am  Wednesday March 28, 2018"	36	2017.01.16	"Willow_Creek"
166.2.22.119	"01:32 pm  Wednesday March 28, 2018"	10	2017.01.16	"Moscow"
166.3.199.231	"03:22 pm  Wednesday March 28, 2018"	20	2017.01.16	"Buffalo_Gulch"
166.3.199.231	"03:37 pm  Wednesday March 28, 2018"	20	2017.01.16	"Jefferson_Creek"
166.3.199.231	"03:40 pm  Wednesday March 28, 2018"	36	2017.01.16	"Willow_Creek"
166.6.141.164	"03:50 pm  Friday March 30, 2018"	571	2017.01.16	"Ukiah_OR_NFJD"
166.6.141.164	"03:52 pm  Friday March 30, 2018"	571	2017.01.16	"Ukiah_OR_NFJD"
166.6.141.164	"03:54 pm  Friday March 30, 2018"	571	2017.01.16	"Ukiah_OR_NFJD"
166.6.141.164	"04:32 pm  Friday March 30, 2018"	571	2017.01.16	"my_location"
166.3.197.220	"04:41 pm  Friday March 30, 2018"	36	2017.01.16	"Willow_Creek"
166.6.141.164	"04:57 pm  Friday March 30, 2018"	571	2017.01.16	"my_location"
166.6.141.164	"05:07 pm  Friday March 30, 2018"	571	2017.01.16	"my_location"
166.6.141.164	"05:31 pm  Friday March 30, 2018"	571	2017.01.16	"my_location"
166.6.141.164	"12:38 pm  Monday April 2, 2018"	571	2017.01.16	"my_location"
166.6.141.164	"02:20 pm  Monday April 2, 2018"	571	2017.01.16	"my_location"
166.6.141.164	"02:51 pm  Monday April 2, 2018"	571	2017.01.16	"my_location"
166.6.141.164	"03:21 pm  Monday April 2, 2018"	571	2017.01.16	"my_location"
